BRINDISI,BARLETTA
2.0,18.5
2.0,7.0
1.0,0.5
2.5,6.0
1.5,1.5
2.0,1.0
3.0,1.0
4.0,6.0
0.5,1.0
0.5,2.5
1.5,3.0
3.0,2.0
1.5,1.5
5.0,4.0
0.5,26.5
3.0,2.5
0.5,9.0
1.0,0.5
2.5,2.5
1.0,1.5
2.0,0.5
3.0,25.5
1.5,7.0
1.0,4.5
2.5,0.5
1.0,0.5
0.5,4.0
2.5,0.5
2.0,11.5
0.5,4.5
1.5,5.0
2.5,2.5
2.0,0.5
1.5,2.0
2.5,2.0
3.0,1.0
2.5,1.0
0.5,9.5
1.5,2.0
1.5,1.5
