S.PIETRO IN CASALE,TERME EUGANEE-ABANO-MONTEGR.
1.0,0.5
1.0,9.0
0.5,2.0
0.5,1.0
0.5,1.0
2.0,0.5
2.5,1.5
1.0,9.0
2.0,3.5
1.5,0.5
0.5,2.0
2.0,1.0
0.5,1.0
0.5,2.5
0.5,1.0
1.0,21.0
1.5,0.5
1.0,4.0
0.5,1.0
3.0,1.5
1.5,1.5
2.5,1.0
1.0,0.5
1.0,1.0
1.0,0.5
1.5,1.0
2.0,1.5
1.5,1.0
1.0,1.5
1.0,0.5
1.0,2.5
1.5,0.5
1.0,1.0
1.0,1.0
1.0,3.0
0.5,5.5
0.5,0.5
1.0,6.0
0.5,0.5
1.5,10.5
