VERONA PORTA NUOVA,BOLOGNA C.LEAV
4.5,2.0
1.5,4.0
0.5,0.5
3.0,6.0
7.5,8.5
6.5,7.0
2.0,3.0
8.0,15.5
1.0,2.0
3.0,5.5
4.0,7.5
1.0,26.0
1.0,3.0
2.0,8.0
1.5,6.0
1.0,1.0
3.5,2.5
1.0,8.0
3.0,1.0
4.0,5.0
1.0,2.0
1.5,0.5
1.0,5.5
10.0,8.0
0.5,6.0
0.5,1.5
4.0,7.0
4.5,7.0
2.0,0.5
1.0,12.5
9.0,7.5
1.0,4.0
1.0,5.0
6.0,3.5
1.0,7.5
3.5,2.5
1.0,2.5
1.5,2.5
0.5,4.0
2.5,5.0
