GATTEO A MARE,CERVIA-MILANO MARITTIMA
2.5,0.5
2.5,0.5
3.0,1.5
3.5,1.0
2.5,2.5
2.0,1.5
1.0,0.5
3.5,2.0
1.5,0.5
3.0,1.5
0.5,1.0
0.5,4.0
1.0,1.0
3.0,3.0
1.0,4.5
2.0,12.0
1.5,0.5
2.0,0.5
2.0,1.0
2.5,2.0
1.5,0.5
2.5,5.5
1.5,3.0
3.0,0.5
2.0,1.5
3.0,5.5
1.5,1.0
2.0,1.0
2.0,8.0
2.0,2.5
2.5,1.0
1.5,0.5
3.0,14.0
1.5,1.0
2.0,2.0
2.0,1.0
2.0,4.0
4.0,2.5
3.0,1.0
1.0,0.5
