ESTE,OSPEDALETTO EUGANEO
0.5,1.0
0.5,1.0
2.0,2.0
9.5,9.0
1.0,1.5
1.0,1.0
1.0,1.0
0.5,1.0
0.5,1.5
1.0,1.5
1.0,1.0
1.0,2.0
1.0,1.5
0.5,1.0
1.0,1.0
2.0,3.0
0.5,1.0
0.5,1.0
1.0,0.5
0.5,0.5
0.5,1.0
0.5,1.0
2.0,5.0
1.0,1.5
3.0,3.0
0.5,1.0
0.5,1.0
2.5,2.0
1.0,2.0
0.5,1.0
0.5,0.5
2.0,2.5
3.5,3.5
0.5,1.0
1.5,1.5
0.5,0.5
1.0,2.0
0.5,1.0
0.5,1.0
1.0,1.0
