GIOIA DEL COLLE,TERMOLI
0.5,11.5
4.0,13.5
0.5,3.0
0.5,2.5
1.5,3.5
2.0,2.5
3.0,12.0
2.0,7.0
0.5,4.5
1.0,8.5
4.0,2.0
1.5,14.0
2.0,1.0
0.5,1.0
2.0,1.0
3.5,15.0
2.5,0.5
3.0,1.5
2.5,5.0
1.5,2.5
2.0,22.0
1.5,5.0
4.0,5.5
4.0,1.0
1.5,4.0
2.0,3.5
4.5,2.0
2.5,2.0
3.0,3.5
1.5,8.0
4.5,1.0
2.0,7.5
0.5,3.0
8.5,1.5
4.0,3.5
1.0,15.5
1.0,2.0
2.0,0.5
1.0,4.5
4.5,6.0
