trainNr, delay
8413,6.41062176165803
11483,5.108459869848157
6411,7.260898282694848
2231,5.024216524216524
35571,5.9526315789473685
11427,4.454954954954954
2229,5.475888324873097
595,6.82645631067961
2249,4.702127659574468
2227,4.922190201729106
11527,4.945652173913044
2225,5.177304964539007
2223,4.7599431818181825
11583,5.866566716641679
6407,5.397714285714288
6423,7.398343373493977
2141,5.506849315068493
2239,5.151515151515151
2237,4.829113924050634
2235,4.544573643410853
2233,4.234375
11177,5.742503259452413
11573,5.251973684210526
6413,4.694976076555025
11473,6.5745937961595295
11179,5.9773095623987045
6415,6.360955056179777
8817,6.20139968895801
6417,6.2274909963985605
