trainNr, delay
9443,6.448402948402947
9521,6.086848635235733
8451,6.190417690417691
9425,5.977272727272728
8413,6.421671018276761
6531,5.4303797468354436
9503,6.406458797327394
9569,5.9305856832971795
9545,5.2107623318385645
9501,6.647196261682243
3067,5.918467583497052
9561,6.298185941043083
3083,6.703053435114505
599,5.801705756929639
9419,7.035852713178294
6545,3.975438596491228
9537,7.56234096692112
9559,5.026785714285714
9439,6.300970873786407
8427,6.401923076923078
11521,4.498415213946117
9575,6.206293706293707
9557,5.2407407407407405
9513,6.567137809187279
9437,6.612449799196788
9435,6.151193633952255
3055,4.2714285714285705
3097,4.419354838709678
9451,5.916393442622951
6557,4.474910394265232
9507,6.786153846153846
9529,6.033033033033033
9427,6.1302211302211305
8415,6.63652802893309
9549,7.284126984126984
8419,6.951025056947609
9509,6.889084507042252
11633,5.547511312217201
