trainNr, delay
20532,5.273195876288659
20751,4.310580204778157
20352,6.526584867075665
20594,7.63265306122449
20570,5.57762938230384
2892,5.82483552631579
2132,5.276785714285714
2274,4.7847490347490345
20759,4.959694989106754
590,6.129977876106194
20458,4.264966740576496
20556,5.6582278481012676
2128,5.872641509433962
35774,6.4411764705882355
8806,5.809696092619394
8508,6.0821759259259265
20500,4.5431654676259
6564,3.913907284768212
20562,5.500925925925925
20340,6.250781249999999
20482,4.079391891891892
2264,6.179405520169851
20506,6.571428571428573
2138,6.172619047619046
2651,6.069364161849711
2659,6.016229712858925
