trainNr, delay
6254,4.8611764705882345
6432,4.523121387283237
6478,4.489010989010988
8851,6.751937984496124
11560,4.398148148148148
2276,4.8550619082301525
3002,4.10633484162896
3000,5.343691148775896
595,6.840650406504064
3018,5.083333333333333
2882,4.771400778210115
6524,4.76094890510949
6468,5.2067510548523215
6424,5.367741935483871
11520,5.0375
11587,4.514175257731958
6428,5.160220994475138
11524,5.425196850393701
6462,4.770491803278689
6466,4.087542087542087
3012,5.200389105058367
3010,4.7370967741935495
2998,4.724693251533743
3008,4.144993498049414
2996,4.3780141843971645
3006,4.581712062256807
3004,4.009823182711198
6413,4.705314009661836
6418,5.690909090909092
11610,4.542713567839196
11612,4.270833333333333
6518,4.2781954887218046
