day,timeslot_delay
22-01-2018,6.105882352941175
23-12-2017,5.28125
27-09-2017,5.101382488479263
07-01-2018,4.902723735408562
27-11-2017,6.421052631578942
18-10-2017,6.366995073891623
08-12-2017,6.358407079646014
03-02-2018,6.501876172607882
14-11-2017,6.229661016949153
20-10-2017,5.939280359820091
10-12-2017,5.897872340425537
01-11-2017,5.736092265943018
07-02-2018,5.679564691656587
18-11-2017,5.513333333333341
24-10-2017,5.436094069529657
14-12-2017,5.436094069529657
05-10-2017,5.287950664136618
26-01-2018,5.412928759894461
27-12-2017,5.331818181818185
17-12-2017,5.35833998403831
10-10-2017,5.57207207207208
29-01-2018,5.7682584269662955
04-11-2017,5.695986622073581
23-11-2017,5.616122840690972
01-12-2017,5.773831208257441
09-10-2017,5.723090277777781
03-01-2018,5.708148558758319
05-12-2017,5.710148777895848
12-02-2018,5.710148777895848
20-12-2017,5.703571428571432
17-01-2018,5.652525747915642
14-10-2017,5.679971658006617
08-11-2017,5.605970829535103
13-11-2017,5.653119507908609
02-10-2017,5.586096938775516
19-10-2017,5.529872270292551
28-09-2017,5.471878739529324
04-02-2018,5.475265017667852
06-01-2018,5.444444444444436
07-12-2017,5.490060015003755
30-11-2017,5.5096293604651185
23-01-2018,5.503705010585743
24-12-2017,5.51165622825331
10-01-2018,5.51165622825331
27-01-2018,5.5675447483958145
28-12-2017,5.529644268774712
23-10-2017,5.491498235482845
17-11-2017,5.468328629664463
02-11-2017,5.42380660954713
06-10-2017,5.428528708133975
13-12-2017,5.460414840782931
16-12-2017,5.426693340954559
27-10-2017,5.3703186137506975
08-02-2018,5.326849315068509
31-01-2018,5.368371719335831
05-11-2017,5.348657985649735
11-10-2017,5.3456934686442805
22-11-2017,5.312116564417198
04-12-2017,5.335884567126724
15-10-2017,5.335279503105603
26-11-2017,5.3757381889763876
02-01-2018,5.343795267986481
21-12-2017,5.347727813466568
09-11-2017,5.347727813466568
18-01-2018,5.402382064455855
29-11-2017,5.383168997936244
01-02-2018,5.3798606428410825
29-09-2017,5.346230378067658
24-01-2018,5.387901127493501
25-12-2017,5.390729189072918
03-10-2017,5.367180896027047
12-12-2017,5.359778982485401
22-10-2017,5.341172813924578
29-12-2017,5.311645931062623
07-10-2017,5.284652470871839
28-01-2018,5.270043877144007
16-11-2017,5.241887905604736
03-11-2017,5.216669901028493
05-02-2018,5.215131830340107
09-01-2018,5.186370481927699
15-01-2018,5.158075282773938
30-12-2017,5.144572790612406
06-11-2017,5.134214816156463
15-12-2017,5.150633589148669
30-01-2018,5.162713055702013
10-02-2018,5.1555401421883005
21-11-2017,5.142135889098079
01-01-2018,5.138326815167457
09-02-2018,5.139536835039433
26-10-2017,5.121129326047352
16-10-2017,5.1122649223221766
30-09-2017,5.098901098901121
05-01-2018,5.077980185362711
19-01-2018,5.064630681818161
31-10-2017,5.040658654596591
20-01-2018,5.033785868559068
22-12-2017,5.038572953194124
19-12-2017,5.0588190878888355
25-11-2017,5.045169009871342
08-01-2018,5.044728670708235
09-12-2017,5.028732270799842
26-09-2017,5.009401214926292
02-02-2018,5.012575021434681
21-01-2018,5.005825518613277
04-10-2017,5.002325253663985
15-11-2017,4.989397321428524
17-10-2017,4.988344827586241
28-11-2017,5.006066802999293
08-10-2017,5.003528773072761
06-02-2018,5.013209065307724
11-12-2017,5.030142079405144
21-10-2017,5.012908324552132
25-01-2018,5.052467126676209
26-12-2017,5.04223344992875
20-11-2017,5.045518656237944
16-01-2018,5.055118609666386
07-11-2017,5.074808585414863
31-12-2017,5.0654784240149855
02-12-2017,5.055424528301864
11-02-2018,5.050500679935685
25-10-2017,5.047916666666678
19-11-2017,5.0440566268001215
04-01-2018,5.031412661905353
30-10-2017,5.017487980769265
24-11-2017,5.017916666666657
13-10-2017,5.018625486266623
06-12-2017,5.050618869687088
01-10-2017,5.048662790697717
18-12-2017,5.057152753723592
