trainNr, delay
11525,4.128571428571428
11407,5.0060975609756095
8809,6.783730158730157
35774,6.5
611,5.947613504074504
2123,5.062009419152277
8803,7.169988925802878
11585,3.6474820143884896
8801,5.847767253044657
8807,7.205763397371088
11523,3.898550724637681
6463,4.660958904109588
11591,4.503898635477583
2121,4.443037974683544
11537,4.681818181818182
11539,5.380073800738007
2997,4.802008608321377
8813,6.42783505154639
603,6.862409479921001
8811,7.2667804323094405
605,6.9145845438698466
607,6.607476635514018
11535,5.305084745762711
8815,5.93423271500843
609,6.36753144654088
