trainNr, delay
6430,6.161894273127753
11480,6.282432432432433
6412,4.556451612903227
6576,6.65285996055227
2232,6.145994832041344
2231,5.024216524216524
2230,6.207674943566592
592,7.13251155624037
6590,7.063852813852814
2228,5.21
2248,4.584615384615384
11428,4.879113018598
2226,4.993827160493827
35775,6.770877944325482
2246,6.442468619246861
2224,4.492217898832685
2244,5.475929978118163
2222,4.438118811881187
11484,5.348540145985401
9416,6.034934497816595
11486,6.450728363324761
6426,3.1666666666666665
8828,7.155698234349919
11422,5.254184100418408
8408,6.591764705882352
8464,7.463235294117648
6422,4.696428571428572
2242,4.785266457680251
2240,5.701171875
2238,4.4803493449781655
2236,6.563039723661483
588,6.131392045454545
6414,5.19620253164557
11474,4.457650273224041
11496,5.708034433285511
11176,5.324503311258279
11554,5.835714285714285
8816,7.091981132075471
