day,timeslot_delay
22-01-2018,3.6100000000000003
23-12-2017,3.5049999999999994
27-09-2017,3.03267973856209
07-01-2018,2.8820224719101115
27-11-2017,3.1652360515021454
18-10-2017,3.6006944444444455
08-12-2017,3.5957095709570943
03-02-2018,4.434604904632162
14-11-2017,4.698823529411769
20-10-2017,4.493670886075945
10-12-2017,4.428429423459242
01-11-2017,4.35192307692308
07-02-2018,4.191840277777782
18-11-2017,4.05802861685215
24-10-2017,4.046735905044515
14-12-2017,4.046735905044515
05-10-2017,4.041609822646661
26-01-2018,4.007547169811321
27-12-2017,3.9375743162901347
17-12-2017,3.9890426758938844
10-10-2017,3.9030501089324625
29-01-2018,4.054192229038857
04-11-2017,4.01224289911851
23-11-2017,4.025069637883009
01-12-2017,3.99465240641711
09-10-2017,3.955744680851062
03-01-2018,4.034035656401943
05-12-2017,4.054826254826256
12-02-2018,4.054826254826256
20-12-2017,4.028132033008251
17-01-2018,3.994964028776977
14-10-2017,4.023393854748602
08-11-2017,4.0376091336467415
13-11-2017,4.077972709551656
02-10-2017,4.0615577889447225
19-10-2017,4.049909255898364
28-09-2017,4.05646576945582
04-02-2018,4.034730195177956
06-01-2018,4.012188208616781
07-12-2017,4.029136888400222
30-11-2017,4.001862692921767
23-01-2018,4.011580030880082
24-12-2017,4.00939563230066
10-01-2018,4.00939563230066
27-01-2018,4.006663376110561
28-12-2017,3.971994205697729
23-10-2017,3.951438000942952
17-11-2017,3.954336851766864
02-11-2017,3.935164340387211
06-10-2017,3.978060552874066
13-12-2017,4.0019288469781396
16-12-2017,4.02077213596307
27-10-2017,3.9872322899505748
08-02-2018,4.029518072289156
31-01-2018,4.011412829594647
05-11-2017,4.004296875000001
11-10-2017,3.9831996945398993
22-11-2017,3.983744394618833
04-12-2017,3.9774477447744765
15-10-2017,3.9672011661807582
26-11-2017,3.952062228654126
02-01-2018,3.9606243348705235
21-12-2017,3.9793417366946797
09-11-2017,3.9793417366946797
18-01-2018,3.974776938915581
29-11-2017,3.9505217098620005
01-02-2018,3.9651930056087097
29-09-2017,3.9570135746606327
24-01-2018,3.9598540145985432
25-12-2017,3.942113564668767
03-10-2017,3.9289269051321973
12-12-2017,3.9466523998777165
22-10-2017,3.944596651445964
29-12-2017,3.924812030075181
07-10-2017,3.9224725763415376
28-01-2018,3.907647058823529
16-11-2017,3.9472616632860027
03-11-2017,3.9675121117127383
05-02-2018,4.018955349620895
09-01-2018,4.000138542532556
15-01-2018,3.9786476868327387
30-12-2017,3.9654334323521487
06-11-2017,3.954799999999998
15-12-2017,3.990162644281219
30-01-2018,4.013168086754454
10-02-2018,4.025932549821152
21-11-2017,4.034860307072745
01-01-2018,4.020150187734671
09-02-2018,4.005442850074221
12-10-2017,4.005442850074221
26-10-2017,4.002318769831583
16-10-2017,4.0004812319538
30-09-2017,3.993323795898904
05-01-2018,4.0078823529411745
19-01-2018,3.9996514869888453
31-10-2017,3.994948335246841
20-01-2018,4.00102365787079
22-12-2017,4.01911830859199
19-12-2017,4.0400577008433265
25-11-2017,4.031421665568003
08-01-2018,4.037744034707163
09-12-2017,4.020180334907688
26-09-2017,4.028319898175645
02-02-2018,4.0375758844463006
21-01-2018,4.041128696376507
04-10-2017,4.038667766549809
15-11-2017,4.042635658914732
17-10-2017,4.029892950919002
28-11-2017,4.043161881977672
08-10-2017,4.051878354203929
06-02-2018,4.038643067846606
11-12-2017,4.078431372549029
21-10-2017,4.0956914791306
25-01-2018,4.082367471024123
26-12-2017,4.074091597274795
20-11-2017,4.091811879332954
16-01-2018,4.079728977167258
07-11-2017,4.083318040007349
31-12-2017,4.07583241858763
02-12-2017,4.071661828737298
11-02-2018,4.065095702419649
25-10-2017,4.054612084376117
19-11-2017,4.048897581792316
04-01-2018,4.0473377997179085
30-10-2017,4.062979762735523
24-11-2017,4.058356353591162
13-10-2017,4.052717019822277
06-12-2017,4.045677550329893
01-10-2017,4.0377549300522535
18-12-2017,4.080324306252093
