trainNr, delay
9545,5.165198237885463
2991,3.75
2275,6.131606217616581
2271,5.013089005235603
11547,5.1830357142857135
597,6.19457735247209
8809,6.809677419354837
795,3.0
599,5.796774193548387
2069,6.588490099009899
755,4.916666666666667
8803,7.12609649122807
757,4.5
11421,4.635103926096998
8807,7.289447731755423
11545,5.944038929440389
6485,4.665637860082304
2287,5.716000000000001
2285,5.171011470281544
2283,6.740000000000001
20426,5.4903100775193785
2282,4.951977401129944
2281,5.504371584699453
2279,5.316140776699029
2278,5.480308219178082
2277,6.436098654708521
8813,6.447899159663867
9507,6.771771771771771
8811,7.270786516853933
605,6.8755043227665675
2913,4.903743315508019
8815,5.950586264656616
6253,4.441798941798941
2133,4.996249999999998
2891,5.077272727272726
2297,5.761363636363637
2131,5.32324455205811
2921,4.75321888412017
2127,5.098230088495575
2885,5.368131868131868
11409,5.95593869731801
2125,5.02676399026764
2123,5.045665634674922
613,6.348662207357859
2929,4.26
8823,7.58502906976744
8829,6.301428571428571
6265,4.148148148148149
583,6.867101303911732
2899,6.9655172413793105
2137,5.727848101265824
11535,5.293269230769232
