trainNr, delay
8810,7.179582712369599
2276,4.812852311161217
590,6.141097424412093
596,6.328193832599123
2986,5.419318181818181
794,3.3125
752,5.587719298245615
754,4.8270440251572335
2068,6.894736842105263
8802,5.687245590230664
2906,4.356382978723405
8806,5.8049132947976885
11546,5.616564417177916
8804,7.034782608695654
2902,4.993421052631579
6564,3.913333333333333
2286,5.816608996539789
2284,5.300788954635108
2282,4.951977401129944
2280,5.005411255411255
2238,4.493392070484582
2278,5.480308219178082
8814,6.690436241610737
604,6.163061564059899
8818,6.336879432624112
8830,6.987595419847328
2132,5.276785714285714
2130,6.091377091377089
9560,6.952095808383233
11526,5.47120786516854
11528,4.424657534246576
2128,5.872641509433962
2126,3.5
2124,4.897435897435898
2882,4.772420443587273
612,7.721354166666666
2288,4.294827586206897
8824,8.116840731070496
8822,6.701867816091958
11400,5.90625
8826,7.505882352941177
2064,4.857142857142857
580,4.578838951310861
11536,5.417338709677419
11418,5.414634146341464
2136,7.057949479940567
2134,5.795248868778276
11532,3.872340425531915
11414,4.691489361702128
