data	treno	stazione	arr_prog	arr_eff	ritardo
22-01-2018,6430	BOLOGNA C.LE	22/01/18 16.25.00	22/01/18 16.39.30	14.5
22-01-2018,6430	BOLOGNA CORTICELLA	22/01/18 16.32.00	22/01/18 16.45.00	13.0
22-01-2018,6430	CASTELMAGGIORE	22/01/18 16.36.00	22/01/18 16.48.00	12.0
22-01-2018,6430	FUNO CENTERGROSS	22/01/18 16.46.00	22/01/18 16.49.00	3.0
22-01-2018,6430	S.GIORGIO P.	22/01/18 16.51.00	22/01/18 16.50.00	-1.0
22-01-2018,6430	S.PIETRO IN CASALE	22/01/18 16.57.00	22/01/18 16.59.00	2.0
22-01-2018,6430	GALLIERA	22/01/18 17.02.00	22/01/18 17.04.30	2.5
22-01-2018,6430	POGGIO RENATICO	22/01/18 17.07.00	22/01/18 17.07.30	0.5
22-01-2018,6430	FERRARA	22/01/18 17.16.00	22/01/18 17.18.00	2.0
22-01-2018,11480	BOLOGNA C.LE	22/01/18 12.28.00	22/01/18 12.30.30	2.5
22-01-2018,11480	BOLOGNA CORTICELLA	22/01/18 12.35.00	22/01/18 12.37.00	2.0
22-01-2018,11480	CASTELMAGGIORE	22/01/18 12.39.00	22/01/18 12.40.00	1.0
22-01-2018,11480	FUNO CENTERGROSS	22/01/18 12.42.00	22/01/18 12.42.30	0.5
22-01-2018,11480	S.GIORGIO P.	22/01/18 12.47.00	22/01/18 12.47.30	0.5
22-01-2018,11480	S.PIETRO IN CASALE	22/01/18 12.53.00	22/01/18 12.53.00	0.0
22-01-2018,11480	GALLIERA	22/01/18 12.58.00	22/01/18 12.59.30	1.5
22-01-2018,11480	POGGIO RENATICO	22/01/18 13.03.00	22/01/18 13.02.30	-0.5
22-01-2018,11480	FERRARA	22/01/18 13.13.00	22/01/18 13.14.00	1.0
22-01-2018,6412	BOLOGNA C.LE	22/01/18 06.52.00	22/01/18 06.53.30	1.5
22-01-2018,6412	BOLOGNA CORTICELLA	22/01/18 06.59.00	22/01/18 07.00.30	1.5
22-01-2018,6412	CASTELMAGGIORE	22/01/18 07.03.00	22/01/18 07.03.30	0.5
22-01-2018,6412	FUNO CENTERGROSS	22/01/18 07.07.00	22/01/18 07.07.30	0.5
22-01-2018,6412	S.GIORGIO P.	22/01/18 07.12.00	22/01/18 07.12.30	0.5
22-01-2018,6412	S.PIETRO IN CASALE	22/01/18 07.17.00	22/01/18 07.17.30	0.5
22-01-2018,6412	GALLIERA	22/01/18 07.22.00	22/01/18 07.24.00	2.0
22-01-2018,6412	POGGIO RENATICO	22/01/18 07.27.00	22/01/18 07.27.00	0.0
22-01-2018,6412	FERRARA	22/01/18 07.38.00	22/01/18 07.38.30	0.5
22-01-2018,6576	BOLOGNA C.LE	22/01/18 19.28.00	22/01/18 19.29.30	1.5
22-01-2018,6576	BOLOGNA CORTICELLA	22/01/18 19.35.00	22/01/18 19.36.30	1.5
22-01-2018,6576	CASTELMAGGIORE	22/01/18 19.39.00	22/01/18 19.39.00	0.0
22-01-2018,6576	FUNO CENTERGROSS	22/01/18 19.43.00	22/01/18 19.50.00	7.0
22-01-2018,6576	S.GIORGIO P.	22/01/18 19.48.00	22/01/18 19.53.30	5.5
22-01-2018,6576	S.PIETRO IN CASALE	22/01/18 19.53.00	22/01/18 19.57.00	4.0
22-01-2018,6576	GALLIERA	22/01/18 19.58.00	22/01/18 20.03.00	5.0
22-01-2018,6576	POGGIO RENATICO	22/01/18 20.03.00	22/01/18 20.05.30	2.5
22-01-2018,6576	FERRARA	22/01/18 20.13.00	22/01/18 20.15.30	2.5
22-01-2018,2232	BOLOGNA C.LE	22/01/18 12.20.00	22/01/18 12.22.00	2.0
22-01-2018,2232	S.PIETRO IN CASALE	22/01/18 12.34.00	22/01/18 12.35.30	1.5
22-01-2018,2232	FERRARA	22/01/18 12.49.00	22/01/18 12.50.30	1.5
22-01-2018,2232	ROVIGO	22/01/18 13.08.00	22/01/18 13.10.30	2.5
22-01-2018,2232	MONSELICE	22/01/18 13.26.00	22/01/18 13.25.00	-1.0
22-01-2018,2232	TERME EUGANEE-ABANO-MONTEGR.	22/01/18 13.34.00	22/01/18 13.34.30	0.5
22-01-2018,2232	PADOVA	22/01/18 13.45.00	22/01/18 13.45.00	0.0
22-01-2018,2232	VENEZIA MESTRE	22/01/18 14.03.00	22/01/18 14.11.00	8.0
22-01-2018,2232	VENEZIA SANTA LUCIA	22/01/18 14.18.00	22/01/18 14.22.30	4.5
22-01-2018,2231	VENEZIA SANTA LUCIA	22/01/18 10.42.00	22/01/18 10.43.00	1.0
22-01-2018,2231	VENEZIA MESTRE	22/01/18 10.52.00	22/01/18 10.52.30	0.5
22-01-2018,2231	PADOVA	22/01/18 11.08.00	22/01/18 11.11.00	3.0
22-01-2018,2231	TERME EUGANEE-ABANO-MONTEGR.	22/01/18 11.20.00	22/01/18 11.21.00	1.0
22-01-2018,2231	MONSELICE	22/01/18 11.29.00	22/01/18 11.28.00	-1.0
22-01-2018,2231	ROVIGO	22/01/18 11.48.00	22/01/18 11.52.00	4.0
22-01-2018,2231	FERRARA	22/01/18 12.09.00	22/01/18 12.12.30	3.5
22-01-2018,2231	S.PIETRO IN CASALE	22/01/18 12.22.00	22/01/18 12.26.30	4.5
22-01-2018,2231	BOLOGNA C.LE	22/01/18 12.40.00	22/01/18 12.42.30	2.5
22-01-2018,2230	BOLOGNA C.LE	22/01/18 10.20.00	22/01/18 10.21.30	1.5
22-01-2018,2230	S.PIETRO IN CASALE	22/01/18 10.34.00	22/01/18 10.34.00	0.0
22-01-2018,2230	FERRARA	22/01/18 10.49.00	22/01/18 10.47.30	-1.5
22-01-2018,2230	ROVIGO	22/01/18 11.08.00	22/01/18 11.08.30	0.5
22-01-2018,2230	MONSELICE	22/01/18 11.26.00	22/01/18 11.26.00	0.0
22-01-2018,2230	TERME EUGANEE-ABANO-MONTEGR.	22/01/18 11.34.00	22/01/18 11.33.30	-0.5
22-01-2018,2230	PADOVA	22/01/18 11.45.00	22/01/18 11.43.00	-2.0
22-01-2018,2230	VENEZIA MESTRE	22/01/18 12.03.00	22/01/18 12.03.30	0.5
22-01-2018,2230	VENEZIA SANTA LUCIA	22/01/18 12.18.00	22/01/18 12.17.30	-0.5
22-01-2018,592	ROMA TERMINI	22/01/18 15.40.00	22/01/18 15.41.00	1.0
22-01-2018,592	ORTE	22/01/18 16.15.00	22/01/18 16.23.00	8.0
22-01-2018,592	ORVIETO	22/01/18 16.43.00	22/01/18 16.53.00	10.0
22-01-2018,592	CHIUSI C.T.	22/01/18 17.08.00	22/01/18 17.16.00	8.0
22-01-2018,592	TERONTOLA CORTONA	22/01/18 17.28.00	22/01/18 17.31.30	3.5
22-01-2018,592	AREZZO	22/01/18 17.53.00	22/01/18 17.51.30	-1.5
22-01-2018,592	FIRENZE RIFREDI	22/01/18 18.36.00	22/01/18 18.40.00	4.0
22-01-2018,592	PRATO CENTRALE	22/01/18 18.50.00	22/01/18 18.50.30	0.5
22-01-2018,592	BOLOGNA C.LE	22/01/18 19.48.00	22/01/18 19.47.30	-0.5
22-01-2018,592	FERRARA	22/01/18 20.16.00	22/01/18 20.17.30	1.5
22-01-2018,592	ROVIGO	22/01/18 20.33.00	22/01/18 20.38.30	5.5
22-01-2018,592	TERME EUGANEE-ABANO-MONTEGR.	22/01/18 20.48.00	22/01/18 20.55.00	7.0
22-01-2018,592	PADOVA	22/01/18 21.00.00	22/01/18 21.05.00	5.0
22-01-2018,6590	BOLOGNA C.LE	22/01/18 20.27.00	22/01/18 20.28.30	1.5
22-01-2018,6590	BOLOGNA CORTICELLA	22/01/18 20.34.00	22/01/18 20.36.30	2.5
22-01-2018,6590	CASTELMAGGIORE	22/01/18 20.38.00	22/01/18 20.39.00	1.0
22-01-2018,6590	FUNO CENTERGROSS	22/01/18 20.46.00	22/01/18 20.48.00	2.0
22-01-2018,6590	S.GIORGIO P.	22/01/18 20.51.00	22/01/18 20.52.00	1.0
22-01-2018,6590	S.PIETRO IN CASALE	22/01/18 20.57.00	22/01/18 21.00.00	3.0
22-01-2018,6590	GALLIERA	22/01/18 21.02.00	22/01/18 21.07.00	5.0
22-01-2018,6590	POGGIO RENATICO	22/01/18 21.07.00	22/01/18 21.10.00	3.0
22-01-2018,6590	FERRARA	22/01/18 21.18.00	22/01/18 21.22.00	4.0
22-01-2018,2228	BOLOGNA C.LE	22/01/18 09.20.00	22/01/18 09.23.30	3.5
22-01-2018,2228	S.PIETRO IN CASALE	22/01/18 09.34.00	22/01/18 09.36.30	2.5
22-01-2018,2228	FERRARA	22/01/18 09.49.00	22/01/18 09.49.30	0.5
22-01-2018,2228	ROVIGO	22/01/18 10.08.00	22/01/18 10.09.00	1.0
22-01-2018,2228	MONSELICE	22/01/18 10.26.00	22/01/18 10.21.30	-4.5
22-01-2018,2228	TERME EUGANEE-ABANO-MONTEGR.	22/01/18 10.34.00	22/01/18 10.33.00	-1.0
22-01-2018,2228	PADOVA	22/01/18 10.49.00	22/01/18 10.43.00	-6.0
22-01-2018,2228	VENEZIA MESTRE	22/01/18 11.06.00	22/01/18 11.06.30	0.5
22-01-2018,2228	VENEZIA SANTA LUCIA	22/01/18 11.18.00	22/01/18 11.17.30	-0.5
22-01-2018,2226	BOLOGNA C.LE	22/01/18 08.20.00	22/01/18 08.22.30	2.5
22-01-2018,2226	S.PIETRO IN CASALE	22/01/18 08.34.00	22/01/18 08.34.30	0.5
22-01-2018,2226	FERRARA	22/01/18 08.49.00	22/01/18 08.48.00	-1.0
22-01-2018,2226	ROVIGO	22/01/18 09.08.00	22/01/18 09.12.30	4.5
22-01-2018,2226	MONSELICE	22/01/18 09.26.00	22/01/18 09.32.30	6.5
22-01-2018,11428	IMOLA	22/01/18 09.08.00	22/01/18 09.16.00	8.0
22-01-2018,11428	CASTEL S.PIETRO TERME	22/01/18 09.14.00	22/01/18 09.21.30	7.5
22-01-2018,11428	VARIGNANA	22/01/18 09.19.00	22/01/18 09.28.00	9.0
22-01-2018,11428	OZZANO DELL'EMILIA	22/01/18 09.23.00	22/01/18 09.31.00	8.0
22-01-2018,11428	S.LAZZARO DI SAVENA	22/01/18 09.29.00	22/01/18 09.35.30	6.5
22-01-2018,11428	BOLOGNA SAN VITALE	22/01/18 09.33.00	22/01/18 09.39.30	6.5
22-01-2018,11428	BOLOGNA C.LE	22/01/18 09.39.00	22/01/18 09.43.00	4.0
22-01-2018,11428	BOLOGNA CORTICELLA	22/01/18 09.49.00	22/01/18 09.53.30	4.5
22-01-2018,11428	CASTELMAGGIORE	22/01/18 09.53.00	22/01/18 09.56.00	3.0
