trainNr, delay
9520,6.245614035087719
8432,5.262738853503183
9540,6.267942583732057
9562,4.987012987012987
9502,5.205000000000001
9544,6.596330275229359
9500,5.634551495016612
9566,5.844139650872817
9446,7.294710327455919
8434,5.571428571428572
3044,6.241741741741742
9560,6.671597633136095
9580,7.431137724550898
11626,4.145021645021646
35774,6.366666666666666
6600,4.1054131054131044
9518,6.706896551724136
8408,6.538647342995169
8508,6.057242990654205
9532,6.138225255972696
9430,6.520224719101124
9414,6.809523809523811
9536,6.06140350877193
9558,6.373015873015873
9514,6.764568764568764
9578,6.160621761658032
580,4.643055555555556
9550,6.457692307692308
9572,5.409420289855073
9570,6.325613079019074
9528,6.5664556962025316
11674,5.877551020408164
9504,6.357142857142857
9526,5.608208955223881
8416,6.832644628099173
9406,7.67883211678832
9508,6.8838174273858925
11634,3.34375
