Giorno	Nr_treno	DataOra	Ritardo_In_Minuti
01-01-2018	11409	01/01/18 18.20.00	-5.5
01-01-2018	11535	01/01/18 11.28.00	4.0
01-01-2018	11545	01/01/18 17.28.00	-4.5
01-01-2018	11547	01/01/18 19.28.00	-1.5
01-01-2018	2123	01/01/18 08.28.00	-5.0
01-01-2018	2127	01/01/18 12.28.00	-1.0
01-01-2018	2131	01/01/18 16.28.00	-4.5
01-01-2018	2133	01/01/18 18.28.00	-5.0
01-01-2018	2137	01/01/18 20.28.00	-4.0
01-01-2018	2271	01/01/18 08.02.00	-5.5
01-01-2018	2275	01/01/18 12.08.00	-5.0
01-01-2018	2277	01/01/18 14.08.00	11.0
01-01-2018	2278	01/01/18 09.52.00	1.0
01-01-2018	2279	01/01/18 16.08.00	-6.5
01-01-2018	2281	01/01/18 18.08.00	-3.0
01-01-2018	2282	01/01/18 13.52.00	3.5
01-01-2018	2283	01/01/18 20.08.00	-3.5
01-01-2018	2285	01/01/18 21.08.00	-4.5
01-01-2018	2287	01/01/18 22.08.00	-3.5
01-01-2018	2891	01/01/18 09.28.00	0.0
01-01-2018	2913	01/01/18 08.40.00	-2.5
01-01-2018	2921	01/01/18 15.28.00	0.5
01-01-2018	583	01/01/18 09.14.00	-6.0
01-01-2018	597	01/01/18 17.14.00	-7.0
01-01-2018	599	01/01/18 20.14.00	-3.5
01-01-2018	605	01/01/18 09.54.00	-8.5
01-01-2018	613	01/01/18 17.46.00	1.0
01-01-2018	6485	01/01/18 09.08.00	-3.5
01-01-2018	8803	01/01/18 09.38.00	-1.5
01-01-2018	8807	01/01/18 11.38.00	-2.0
01-01-2018	8809	01/01/18 12.38.00	0.0
01-01-2018	8811	01/01/18 13.38.00	-2.5
01-01-2018	8813	01/01/18 14.38.00	-4.5
01-01-2018	8815	01/01/18 15.38.00	-3.5
01-01-2018	8823	01/01/18 19.38.00	2.5
01-01-2018	8829	01/01/18 21.38.00	1.0
01-03-2017	11409	01/03/17 18.20.00	-2.0
01-03-2017	11421	01/03/17 19.08.00	3.5
01-03-2017	11547	01/03/17 19.28.00	2.5
01-03-2017	2123	01/03/17 08.28.00	-0.5
01-03-2017	2131	01/03/17 16.28.00	-1.5
01-03-2017	2133	01/03/17 18.28.00	-3.5
01-03-2017	2271	01/03/17 08.02.00	5.0
01-03-2017	2279	01/03/17 16.08.00	-0.5
01-03-2017	2281	01/03/17 18.08.00	-0.5
01-03-2017	2282	01/03/17 13.52.00	3.0
01-03-2017	2283	01/03/17 20.08.00	2.5
01-03-2017	2913	01/03/17 08.40.00	-0.5
01-03-2017	6253	01/03/17 08.14.00	9.5
01-03-2017	6265	01/03/17 17.08.00	4.5
01-03-2017	6485	01/03/17 09.08.00	-0.5
01-10-2017	11409	01/10/17 18.20.00	-6.0
01-10-2017	11545	01/10/17 17.28.00	-1.0
01-10-2017	11547	01/10/17 19.28.00	-1.0
01-10-2017	2133	01/10/17 18.28.00	-4.0
01-10-2017	2137	01/10/17 20.28.00	-3.5
01-10-2017	2278	01/10/17 09.52.00	1.5
01-10-2017	2281	01/10/17 18.08.00	0.5
01-10-2017	2282	01/10/17 13.52.00	4.5
01-10-2017	2283	01/10/17 20.08.00	4.0
01-10-2017	2285	01/10/17 21.08.00	-1.5
01-10-2017	2287	01/10/17 22.08.00	2.0
01-10-2017	2899	01/10/17 22.30.00	-3.5
01-10-2017	2929	01/10/17 23.28.00	-1.0
01-10-2017	597	01/10/17 17.14.00	-4.0
01-10-2017	599	01/10/17 20.14.00	15.0
