Giorno	Nr_treno	DataOra	Ritardo_In_Minuti
01-01-2018	11526	01/01/18 09.08.00	5.5
01-01-2018	11536	01/01/18 15.08.00	-0.5
01-01-2018	2130	01/01/18 14.08.00	0.0
01-01-2018	2134	01/01/18 18.08.00	0.5
01-01-2018	2136	01/01/18 20.08.00	2.5
01-01-2018	2276	01/01/18 08.40.00	-1.0
01-01-2018	2278	01/01/18 10.40.00	2.0
01-01-2018	2280	01/01/18 12.40.00	-1.0
01-01-2018	2282	01/01/18 14.40.00	0.0
01-01-2018	2284	01/01/18 16.40.00	1.0
01-01-2018	2286	01/01/18 18.40.00	-1.5
01-01-2018	2288	01/01/18 20.40.00	1.5
01-01-2018	2882	01/01/18 07.13.00	0.5
01-01-2018	2986	01/01/18 07.53.00	-1.0
01-01-2018	590	01/01/18 17.19.00	13.5
01-01-2018	596	01/01/18 21.20.00	5.0
01-01-2018	604	01/01/18 11.59.00	2.0
01-01-2018	612	01/01/18 19.59.00	16.5
01-01-2018	8802	01/01/18 07.36.00	10.0
01-01-2018	8804	01/01/18 08.51.00	0.5
01-01-2018	8806	01/01/18 09.52.00	0.5
01-01-2018	8810	01/01/18 11.52.00	1.0
01-01-2018	8814	01/01/18 13.52.00	1.0
01-01-2018	8818	01/01/18 15.52.00	3.5
01-01-2018	8822	01/01/18 17.52.00	4.0
01-01-2018	8824	01/01/18 18.52.00	47.0
01-01-2018	8826	01/01/18 19.52.00	4.0
01-01-2018	8830	01/01/18 21.52.00	1.0
01-10-2017	11526	01/10/17 09.08.00	1.0
01-10-2017	2130	01/10/17 14.08.00	0.5
01-10-2017	2134	01/10/17 18.08.00	0.5
01-10-2017	2276	01/10/17 08.40.00	2.0
01-10-2017	2278	01/10/17 10.40.00	0.0
01-10-2017	2280	01/10/17 12.40.00	1.5
01-10-2017	2282	01/10/17 14.40.00	5.5
01-10-2017	2284	01/10/17 16.40.00	1.0
01-10-2017	2286	01/10/17 18.40.00	4.0
01-10-2017	2288	01/10/17 20.40.00	1.5
01-10-2017	2882	01/10/17 07.13.00	1.0
01-10-2017	2986	01/10/17 07.53.00	4.0
01-10-2017	590	01/10/17 17.19.00	2.0
01-10-2017	596	01/10/17 21.20.00	4.5
01-10-2017	604	01/10/17 11.59.00	2.0
01-10-2017	612	01/10/17 19.59.00	7.5
01-10-2017	8802	01/10/17 07.36.00	3.5
01-10-2017	8804	01/10/17 08.51.00	0.5
01-10-2017	8806	01/10/17 09.52.00	2.5
01-10-2017	8810	01/10/17 11.52.00	1.0
01-10-2017	8814	01/10/17 13.52.00	3.5
01-10-2017	8818	01/10/17 15.52.00	3.0
01-10-2017	8822	01/10/17 17.52.00	0.0
01-10-2017	8824	01/10/17 18.52.00	10.0
01-10-2017	8826	01/10/17 19.52.00	8.5
01-10-2017	8830	01/10/17 21.52.00	11.0
01-10-2017	9560	01/10/17 22.29.00	6.5
01-11-2017	11526	01/11/17 09.08.00	-0.5
01-11-2017	2130	01/11/17 14.08.00	0.5
01-11-2017	2134	01/11/17 18.08.00	-0.5
01-11-2017	2276	01/11/17 08.40.00	2.5
01-11-2017	2278	01/11/17 10.40.00	-1.0
01-11-2017	2280	01/11/17 12.40.00	-1.0
01-11-2017	2282	01/11/17 14.40.00	4.0
01-11-2017	2284	01/11/17 16.40.00	8.5
01-11-2017	2286	01/11/17 18.40.00	6.5
01-11-2017	2882	01/11/17 07.13.00	4.5
01-11-2017	2986	01/11/17 07.53.00	-4.5
01-11-2017	590	01/11/17 17.19.00	0.5
01-11-2017	604	01/11/17 11.59.00	3.5
01-11-2017	612	01/11/17 19.59.00	10.0
01-11-2017	8802	01/11/17 07.36.00	0.5
01-11-2017	8804	01/11/17 08.51.00	0.0
01-11-2017	8806	01/11/17 09.52.00	0.5
01-11-2017	8810	01/11/17 11.52.00	3.0
01-11-2017	8814	01/11/17 13.52.00	-0.5
01-11-2017	8818	01/11/17 15.52.00	1.0
01-11-2017	8822	01/11/17 17.52.00	2.5
01-11-2017	8824	01/11/17 18.52.00	8.0
01-11-2017	8826	01/11/17 19.52.00	0.0
01-12-2016	11400	01/12/16 07.44.00	7.0
01-12-2016	11414	01/12/16 09.40.00	-0.5
01-12-2016	11526	01/12/16 09.08.00	1.0
01-12-2016	2276	01/12/16 08.40.00	4.5
01-12-2016	2902	01/12/16 07.13.00	3.0
01-12-2016	2986	01/12/16 07.53.00	6.5
01-12-2017	11526	01/12/17 09.08.00	5.5
01-12-2017	2130	01/12/17 14.08.00	1.0
01-12-2017	2134	01/12/17 18.08.00	1.5
01-12-2017	2276	01/12/17 08.40.00	1.0
01-12-2017	2278	01/12/17 10.40.00	1.5
01-12-2017	2280	01/12/17 12.40.00	0.5
01-12-2017	2282	01/12/17 14.40.00	4.5
01-12-2017	2284	01/12/17 16.40.00	25.0
01-12-2017	2286	01/12/17 18.40.00	12.0
01-12-2017	2288	01/12/17 20.40.00	7.5
01-12-2017	2882	01/12/17 07.13.00	1.5
01-12-2017	2986	01/12/17 07.53.00	-2.5
01-12-2017	590	01/12/17 17.19.00	5.5
01-12-2017	604	01/12/17 11.59.00	4.5
01-12-2017	612	01/12/17 19.59.00	53.5
01-12-2017	8802	01/12/17 07.36.00	36.0
01-12-2017	8804	01/12/17 08.51.00	17.0
01-12-2017	8806	01/12/17 09.52.00	4.5
01-12-2017	8810	01/12/17 11.52.00	6.0
01-12-2017	8814	01/12/17 13.52.00	1.5
01-12-2017	8818	01/12/17 15.52.00	4.5
01-12-2017	8822	01/12/17 17.52.00	6.5
01-12-2017	8824	01/12/17 18.52.00	67.0
01-12-2017	8826	01/12/17 19.52.00	21.0
02-01-2017	11400	02/01/17 07.44.00	2.5
02-01-2017	11414	02/01/17 09.40.00	1.5
02-01-2017	11526	02/01/17 09.08.00	1.5
02-01-2017	2276	02/01/17 08.40.00	1.5
02-01-2017	2986	02/01/17 07.53.00	-2.0
02-01-2018	11526	02/01/18 09.08.00	-1.0
02-01-2018	11536	02/01/18 15.08.00	6.5
02-01-2018	2130	02/01/18 14.08.00	-0.5
02-01-2018	2134	02/01/18 18.08.00	9.0
02-01-2018	2136	02/01/18 20.08.00	0.0
02-01-2018	2276	02/01/18 08.40.00	0.0
02-01-2018	2278	02/01/18 10.40.00	0.0
02-01-2018	2280	02/01/18 12.40.00	0.5
02-01-2018	2282	02/01/18 14.40.00	7.0
02-01-2018	2284	02/01/18 16.40.00	1.5
02-01-2018	2286	02/01/18 18.40.00	7.0
02-01-2018	2288	02/01/18 20.40.00	2.0
02-01-2018	2882	02/01/18 07.13.00	1.0
02-01-2018	2986	02/01/18 07.53.00	-2.5
02-01-2018	590	02/01/18 17.19.00	2.5
02-01-2018	596	02/01/18 21.20.00	10.5
02-01-2018	604	02/01/18 11.59.00	0.0
02-01-2018	612	02/01/18 19.59.00	3.5
02-01-2018	8802	02/01/18 07.36.00	3.0
02-01-2018	8804	02/01/18 08.51.00	1.5
02-01-2018	8806	02/01/18 09.52.00	9.0
02-01-2018	8810	02/01/18 11.52.00	0.0
02-01-2018	8814	02/01/18 13.52.00	0.0
02-01-2018	8818	02/01/18 15.52.00	6.5
02-01-2018	8822	02/01/18 17.52.00	2.0
02-01-2018	8824	02/01/18 18.52.00	18.0
02-01-2018	8826	02/01/18 19.52.00	0.5
02-01-2018	8830	02/01/18 21.52.00	2.0
02-03-2017	11400	02/03/17 07.44.00	4.5
02-03-2017	11414	02/03/17 09.40.00	1.0
02-03-2017	11418	02/03/17 19.40.00	2.0
02-03-2017	11526	02/03/17 09.08.00	4.0
02-03-2017	2276	02/03/17 08.40.00	0.0
02-03-2017	2286	02/03/17 18.40.00	2.5
02-03-2017	2986	02/03/17 07.53.00	0.0
02-10-2017	11526	02/10/17 09.08.00	1.0
02-10-2017	2276	02/10/17 08.40.00	1.5
02-10-2017	2278	02/10/17 10.40.00	6.5
02-10-2017	2280	02/10/17 12.40.00	1.5
02-10-2017	2282	02/10/17 14.40.00	15.0
02-10-2017	2284	02/10/17 16.40.00	0.0
02-10-2017	2286	02/10/17 18.40.00	-1.0
02-10-2017	2288	02/10/17 20.40.00	2.0
02-10-2017	2882	02/10/17 07.13.00	-0.5
02-10-2017	2986	02/10/17 07.53.00	1.0
02-10-2017	590	02/10/17 17.19.00	2.5
02-10-2017	596	02/10/17 21.20.00	50.0
02-10-2017	604	02/10/17 11.59.00	-5.5
02-10-2017	612	02/10/17 19.59.00	8.0
02-10-2017	8802	02/10/17 07.36.00	5.5
02-10-2017	8804	02/10/17 08.51.00	12.0
02-10-2017	8806	02/10/17 09.52.00	3.0
02-10-2017	8810	02/10/17 11.52.00	15.5
02-10-2017	8814	02/10/17 13.52.00	10.0
02-10-2017	8818	02/10/17 15.52.00	11.5
02-10-2017	8822	02/10/17 17.52.00	4.5
02-10-2017	8824	02/10/17 18.52.00	14.0
02-10-2017	8826	02/10/17 19.52.00	9.0
02-10-2017	8830	02/10/17 21.52.00	10.5
02-10-2017	9560	02/10/17 22.29.00	7.0
02-11-2017	11526	02/11/17 09.08.00	-1.0
02-11-2017	2130	02/11/17 14.08.00	3.0
02-11-2017	2276	02/11/17 08.40.00	1.5
02-11-2017	2278	02/11/17 10.40.00	0.5
02-11-2017	2280	02/11/17 12.40.00	3.0
02-11-2017	2282	02/11/17 14.40.00	1.0
02-11-2017	2284	02/11/17 16.40.00	3.5
02-11-2017	2286	02/11/17 18.40.00	12.5
02-11-2017	2882	02/11/17 07.13.00	-1.5
02-11-2017	2986	02/11/17 07.53.00	5.5
02-11-2017	590	02/11/17 17.19.00	2.0
02-11-2017	604	02/11/17 11.59.00	-7.0
02-11-2017	612	02/11/17 19.59.00	-1.5
02-11-2017	8802	02/11/17 07.36.00	15.5
02-11-2017	8804	02/11/17 08.51.00	0.0
02-11-2017	8806	02/11/17 09.52.00	3.5
02-11-2017	8810	02/11/17 11.52.00	6.0
02-11-2017	8814	02/11/17 13.52.00	12.5
02-11-2017	8818	02/11/17 15.52.00	-0.5
02-11-2017	8822	02/11/17 17.52.00	2.0
02-11-2017	8824	02/11/17 18.52.00	7.5
02-11-2017	8826	02/11/17 19.52.00	10.5
02-12-2016	11400	02/12/16 07.44.00	7.0
02-12-2016	11414	02/12/16 09.40.00	3.5
02-12-2016	11526	02/12/16 09.08.00	0.5
02-12-2016	2064	02/12/16 10.08.00	-0.5
02-12-2016	2276	02/12/16 08.40.00	1.5
02-12-2016	2902	02/12/16 07.13.00	3.0
02-12-2016	2986	02/12/16 07.53.00	3.0
02-12-2017	2276	02/12/17 08.40.00	-0.5
02-12-2017	2882	02/12/17 07.13.00	3.0
02-12-2017	2986	02/12/17 07.53.00	1.5
02-12-2017	752	02/12/17 07.00.00	32.0
02-12-2017	8802	02/12/17 07.36.00	6.0
02-12-2017	8804	02/12/17 08.51.00	1.0
03-01-2017	11400	03/01/17 07.44.00	2.5
03-01-2017	11414	03/01/17 09.40.00	4.0
03-01-2017	11526	03/01/17 09.08.00	59.0
03-01-2017	2276	03/01/17 08.40.00	1.0
03-01-2017	2986	03/01/17 07.53.00	-1.5
03-01-2018	11526	03/01/18 09.08.00	0.5
03-01-2018	11536	03/01/18 15.08.00	0.0
03-01-2018	2130	03/01/18 14.08.00	0.0
03-01-2018	2134	03/01/18 18.08.00	-1.0
03-01-2018	2136	03/01/18 20.08.00	35.5
03-01-2018	2276	03/01/18 08.40.00	-0.5
03-01-2018	2278	03/01/18 10.40.00	4.5
03-01-2018	2280	03/01/18 12.40.00	2.5
03-01-2018	2282	03/01/18 14.40.00	2.5
03-01-2018	2284	03/01/18 16.40.00	0.5
03-01-2018	2286	03/01/18 18.40.00	0.0
03-01-2018	2288	03/01/18 20.40.00	9.5
03-01-2018	2882	03/01/18 07.13.00	-1.0
03-01-2018	2986	03/01/18 07.53.00	-0.5
03-01-2018	590	03/01/18 17.19.00	2.0
03-01-2018	596	03/01/18 21.20.00	0.5
03-01-2018	604	03/01/18 11.59.00	1.0
03-01-2018	612	03/01/18 19.59.00	27.5
03-01-2018	8802	03/01/18 07.36.00	4.5
03-01-2018	8804	03/01/18 08.51.00	0.0
03-01-2018	8806	03/01/18 09.52.00	18.5
03-01-2018	8810	03/01/18 11.52.00	1.5
03-01-2018	8814	03/01/18 13.52.00	-1.0
03-01-2018	8818	03/01/18 15.52.00	1.0
03-01-2018	8822	03/01/18 17.52.00	1.5
03-01-2018	8824	03/01/18 18.52.00	13.5
03-01-2018	8826	03/01/18 19.52.00	27.0
03-01-2018	8830	03/01/18 21.52.00	13.0
03-03-2017	11400	03/03/17 07.44.00	5.5
03-03-2017	11414	03/03/17 09.40.00	-1.0
03-03-2017	11418	03/03/17 19.40.00	0.0
03-03-2017	11526	03/03/17 09.08.00	1.5
03-03-2017	2276	03/03/17 08.40.00	0.0
03-03-2017	2286	03/03/17 18.40.00	2.5
03-03-2017	2986	03/03/17 07.53.00	2.0
03-10-2017	11526	03/10/17 09.08.00	0.0
03-10-2017	2276	03/10/17 08.40.00	3.0
03-10-2017	2278	03/10/17 10.40.00	19.0
03-10-2017	2280	03/10/17 12.40.00	2.5
03-10-2017	2282	03/10/17 14.40.00	2.5
03-10-2017	2284	03/10/17 16.40.00	0.5
03-10-2017	2286	03/10/17 18.40.00	2.5
03-10-2017	2288	03/10/17 20.40.00	-0.5
03-10-2017	2882	03/10/17 07.13.00	0.5
03-10-2017	2986	03/10/17 07.53.00	3.0
03-10-2017	590	03/10/17 17.19.00	0.0
03-10-2017	596	03/10/17 21.20.00	42.0
03-10-2017	604	03/10/17 11.59.00	-9.5
03-10-2017	612	03/10/17 19.59.00	6.5
03-10-2017	8802	03/10/17 07.36.00	6.0
03-10-2017	8804	03/10/17 08.51.00	0.0
03-10-2017	8806	03/10/17 09.52.00	6.0
03-10-2017	8810	03/10/17 11.52.00	36.5
03-10-2017	8814	03/10/17 13.52.00	8.5
03-10-2017	8818	03/10/17 15.52.00	-1.0
03-10-2017	8822	03/10/17 17.52.00	17.5
03-10-2017	8824	03/10/17 18.52.00	22.0
03-10-2017	8826	03/10/17 19.52.00	21.0
03-10-2017	8830	03/10/17 21.52.00	1.0
03-10-2017	9560	03/10/17 22.29.00	3.5
03-11-2017	11526	03/11/17 09.08.00	0.5
03-11-2017	2130	03/11/17 14.08.00	-1.0
03-11-2017	2134	03/11/17 18.08.00	0.0
03-11-2017	2276	03/11/17 08.40.00	1.0
03-11-2017	2278	03/11/17 10.40.00	0.0
03-11-2017	2280	03/11/17 12.40.00	1.0
03-11-2017	2282	03/11/17 14.40.00	0.0
03-11-2017	2284	03/11/17 16.40.00	13.5
03-11-2017	2286	03/11/17 18.40.00	1.5
03-11-2017	2882	03/11/17 07.13.00	-1.5
03-11-2017	2986	03/11/17 07.53.00	1.0
03-11-2017	590	03/11/17 17.19.00	3.0
03-11-2017	604	03/11/17 11.59.00	-0.5
03-11-2017	612	03/11/17 19.59.00	2.0
03-11-2017	8802	03/11/17 07.36.00	4.0
03-11-2017	8804	03/11/17 08.51.00	23.0
03-11-2017	8806	03/11/17 09.52.00	4.5
03-11-2017	8810	03/11/17 11.52.00	0.5
03-11-2017	8814	03/11/17 13.52.00	-0.5
03-11-2017	8818	03/11/17 15.52.00	54.0
03-11-2017	8822	03/11/17 17.52.00	6.0
03-11-2017	8824	03/11/17 18.52.00	6.0
03-11-2017	8826	03/11/17 19.52.00	2.5
04-01-2017	11400	04/01/17 07.44.00	4.0
04-01-2017	11414	04/01/17 09.40.00	-1.0
04-01-2017	11526	04/01/17 09.08.00	-0.5
04-01-2017	2276	04/01/17 08.40.00	35.5
04-01-2017	2986	04/01/17 07.53.00	1.0
04-01-2018	11526	04/01/18 09.08.00	-1.0
04-01-2018	11536	04/01/18 15.08.00	1.5
04-01-2018	2134	04/01/18 18.08.00	0.0
04-01-2018	2136	04/01/18 20.08.00	-0.5
04-01-2018	2276	04/01/18 08.40.00	-0.5
04-01-2018	2278	04/01/18 10.40.00	0.5
04-01-2018	2280	04/01/18 12.40.00	8.5
04-01-2018	2282	04/01/18 14.40.00	-1.5
04-01-2018	2284	04/01/18 16.40.00	-0.5
04-01-2018	2286	04/01/18 18.40.00	1.5
04-01-2018	2288	04/01/18 20.40.00	0.0
04-01-2018	2882	04/01/18 07.13.00	2.0
04-01-2018	2986	04/01/18 07.53.00	-0.5
04-01-2018	590	04/01/18 17.19.00	5.0
04-01-2018	596	04/01/18 21.20.00	12.0
04-01-2018	604	04/01/18 11.59.00	0.5
04-01-2018	612	04/01/18 19.59.00	-5.0
04-01-2018	8802	04/01/18 07.36.00	3.0
04-01-2018	8804	04/01/18 08.51.00	2.5
04-01-2018	8806	04/01/18 09.52.00	2.0
04-01-2018	8810	04/01/18 11.52.00	2.0
