ROMA TERMINI,FIRENZE S.M.N.
-2.0,7.0
1.0,58.5
-2.0,4.0
-1.0,-1.0
0.0,1.5
-2.0,1.0
-2.0,1.5
6.0,6.0
-1.0,-2.0
-4.0,-1.0
-2.0,0.5
6.0,2.0
-1.0,7.5
-3.0,2.5
-2.0,-1.5
-1.0,9.5
6.0,3.5
-2.0,6.5
-2.0,0.0
-3.0,0.5
-6.0,-3.0
-3.0,4.0
-3.0,3.5
-7.0,0.0
1.0,11.5
6.0,7.5
-3.0,3.5
-5.0,4.5
2.0,6.0
-4.0,7.5
-6.0,1.0
0.0,2.5
-9.0,2.0
-5.0,0.5
3.0,13.5
-6.0,0.5
-3.0,12.0
2.0,7.5
3.0,6.0
-2.0,6.0
3.0,-2.5
-5.0,2.0
-2.0,5.5
-5.0,1.5
6.0,5.0
-1.0,2.0
7.0,10.0
0.0,5.0
-2.0,2.0
-7.0,4.5
-6.0,1.0
-6.0,2.0
6.0,9.5
0.0,1.0
-4.0,17.0
-3.0,2.0
0.0,2.5
-7.0,2.0
3.0,9.0
-3.0,3.0
2.0,7.5
3.0,2.0
3.0,9.0
-7.0,2.0
0.0,1.0
-5.0,4.0
-3.0,10.5
28.0,26.5
-6.0,0.5
-2.0,1.0
-4.0,29.5
1.0,27.0
10.0,17.0
2.0,16.0
-5.0,-2.0
-7.0,6.5
2.0,6.0
-6.0,-1.5
0.0,4.0
1.0,1.0
-7.0,0.5
2.0,2.5
2.0,1.0
-6.0,-0.5
-3.0,2.0
-1.0,2.0
-1.0,0.0
2.0,8.5
4.0,6.5
-7.0,4.0
-5.0,1.5
1.0,-2.0
-2.0,-4.0
0.0,22.5
3.0,2.0
-1.0,3.0
1.0,5.5
-1.0,1.0
4.0,3.5
0.0,2.0
