OZZANO DELL'EMILIA,VARIGNANA
1.5,1.5
1.0,1.0
2.0,1.5
3.0,2.5
2.0,1.5
1.0,1.0
2.0,1.5
2.0,1.5
1.0,0.5
4.0,3.5
1.5,1.5
2.0,1.5
5.0,4.5
2.0,1.5
5.0,4.5
5.0,4.5
11.5,11.0
5.5,5.5
2.5,2.0
2.0,1.0
3.0,2.5
12.5,11.5
2.0,1.5
4.5,4.0
1.5,1.5
2.0,1.5
2.0,1.5
5.5,5.0
1.5,1.0
2.5,2.5
2.0,1.0
5.5,4.5
2.0,1.5
8.0,7.5
4.0,3.5
3.0,3.0
1.5,1.5
2.5,2.0
2.0,1.5
1.5,1.5
3.0,2.0
2.5,2.0
26.5,27.5
2.0,1.5
12.5,12.0
2.0,1.5
1.5,1.5
1.5,1.0
2.5,1.5
16.5,16.0
2.5,1.5
35.0,34.5
9.0,9.0
2.5,2.0
2.0,1.5
1.5,1.5
3.5,2.5
6.5,6.0
3.0,2.5
5.0,4.5
0.5,0.5
1.0,1.0
3.5,3.0
1.5,1.5
1.5,1.5
7.0,6.5
3.0,2.5
1.0,1.0
1.5,1.0
7.0,6.5
2.5,2.0
3.0,2.5
2.0,1.5
1.0,1.0
9.5,8.5
3.0,2.5
5.0,4.0
1.5,1.0
5.0,4.0
4.5,4.0
31.0,31.0
1.5,1.5
2.0,1.5
1.5,1.5
4.5,4.0
2.5,2.5
3.5,3.0
1.0,1.0
6.0,5.5
1.5,1.0
5.5,5.0
3.0,2.5
1.5,1.0
1.5,1.5
2.5,2.0
1.5,1.0
2.0,1.5
1.5,1.0
1.0,1.0
28.5,27.5
