BOLOGNA C.LE,OSTERIA NUOVA
4.0,1.5
24.0,21.5
1.5,2.5
2.5,1.0
2.0,1.0
5.0,3.5
3.5,4.0
1.5,-0.5
2.0,0.0
2.0,0.5
5.5,4.5
4.0,2.0
3.5,2.5
5.0,3.5
20.0,17.0
2.0,2.0
11.0,11.5
2.0,1.5
3.0,0.5
4.0,3.0
1.0,0.0
11.0,11.0
2.5,0.5
2.0,1.0
2.0,1.5
18.5,16.0
2.0,1.5
2.0,0.5
10.5,9.0
2.5,1.0
1.5,0.5
5.0,4.0
2.0,0.0
1.5,0.5
6.0,4.0
19.5,18.0
2.0,3.5
3.5,1.5
2.5,2.0
2.5,2.5
2.0,1.0
2.5,3.5
10.0,8.0
1.5,-0.5
2.0,1.0
33.0,34.0
3.0,3.0
1.5,-1.0
4.5,4.5
1.5,0.5
2.0,0.0
8.0,5.5
4.0,2.0
2.0,0.5
2.5,-0.5
2.5,0.5
1.5,-1.0
8.0,6.5
2.5,0.0
3.5,1.5
1.5,2.5
4.0,2.0
16.5,15.5
4.0,1.0
13.5,11.0
5.0,3.5
19.5,17.5
5.0,2.5
12.0,9.5
3.0,1.5
3.0,1.0
2.0,-1.0
7.0,9.5
2.5,2.0
19.5,18.0
2.5,0.0
3.5,1.5
3.0,2.0
16.5,14.0
2.0,0.5
10.5,9.5
1.5,-0.5
2.5,1.5
4.0,3.0
1.5,-0.5
7.0,4.0
1.5,7.0
3.5,2.0
2.0,0.0
13.5,12.0
3.5,2.0
4.0,3.5
1.5,0.0
4.5,3.5
6.0,3.5
2.0,0.0
15.0,13.0
5.5,4.0
2.5,0.0
2.0,2.5
