GALLIERA,S.PIETRO IN CASALE
4.0,2.5
5.0,2.5
9.0,6.5
14.5,14.5
9.5,7.0
4.5,2.0
7.0,4.5
17.0,14.5
16.0,13.5
4.0,1.5
4.5,2.0
6.5,5.0
7.5,5.0
9.0,7.0
7.5,6.0
18.5,15.5
7.0,5.0
5.0,2.5
6.5,5.0
6.0,3.5
5.5,3.0
7.5,5.0
7.5,5.5
5.5,3.5
4.5,2.5
11.5,9.5
7.0,5.5
23.5,22.0
6.0,4.5
23.0,20.5
5.5,2.5
7.5,4.5
16.0,13.5
26.0,23.0
5.5,3.0
14.0,12.0
25.0,22.5
10.0,7.5
5.0,2.5
7.0,4.0
6.0,4.5
22.0,19.5
5.5,3.5
6.0,5.0
6.0,3.5
9.0,6.5
2.0,-0.5
6.5,4.5
18.0,16.0
12.5,10.0
10.0,8.5
19.5,17.5
4.0,2.0
12.0,9.5
13.0,12.0
8.0,5.5
6.0,4.5
22.5,20.0
2.0,-0.5
8.0,6.0
3.5,1.5
6.5,4.5
3.0,1.0
6.0,3.5
4.5,2.5
6.5,4.0
1.5,-1.0
5.0,2.5
5.5,4.5
10.0,7.5
5.5,4.0
21.0,19.0
4.5,2.0
8.0,5.5
4.5,3.5
9.0,6.5
6.0,4.0
10.0,7.5
15.0,12.5
17.5,15.0
5.0,2.5
8.5,6.5
10.0,8.5
7.5,5.5
5.5,3.0
7.5,5.5
7.5,6.5
6.5,4.0
5.5,4.0
7.5,6.0
3.5,2.0
3.0,0.5
10.5,8.5
6.5,4.5
5.0,3.5
12.5,10.0
17.0,14.5
4.5,2.0
7.5,5.0
9.5,7.5
