FIRENZE S.M.N.,ROMA TIBURTINA
-2.5,2.5
4.5,8.5
4.0,5.5
3.0,8.0
-1.0,33.0
-1.5,5.5
1.5,7.0
2.5,11.0
-3.0,16.5
0.0,3.5
-1.5,10.5
2.0,7.0
-3.0,-3.5
0.0,10.0
4.5,2.0
8.5,9.5
2.0,6.0
0.5,4.5
1.5,0.0
1.0,-0.5
17.0,17.0
5.0,10.5
11.5,12.0
57.0,57.0
1.0,7.0
10.5,14.5
4.0,20.0
-1.0,2.0
4.5,3.5
9.0,13.0
3.5,6.0
6.0,10.0
5.5,11.0
3.0,12.5
2.5,3.5
1.0,1.0
-1.5,2.0
7.5,17.5
0.5,1.5
13.5,26.5
3.0,6.0
1.5,16.5
4.0,15.5
9.5,15.5
4.0,9.0
-1.5,-1.0
1.5,2.5
2.5,1.0
3.0,8.0
9.0,11.0
7.5,12.5
1.5,13.0
1.0,-2.0
-1.5,-3.5
3.0,6.0
5.0,6.0
-0.5,1.5
1.5,3.5
7.5,10.0
1.5,5.0
8.5,13.5
16.5,20.5
14.0,15.0
18.5,25.5
1.0,3.0
-1.0,-1.0
5.0,12.0
2.5,13.0
0.5,13.5
3.0,5.5
3.5,11.0
9.5,23.5
2.0,13.0
8.0,18.5
6.0,19.0
0.5,11.5
-0.5,3.5
10.0,13.0
3.5,6.0
8.5,20.5
-4.5,10.5
1.5,12.5
-3.5,-0.5
3.0,4.5
6.5,16.5
2.0,7.5
3.5,9.5
21.5,30.5
0.5,17.0
3.5,1.5
-1.5,-0.5
12.5,8.5
8.5,5.5
1.0,1.0
0.0,2.0
63.5,226.0
16.0,361.5
6.5,137.0
-0.5,2.5
1.5,7.0
