FORMIA-GAETA,LATINA
41.5,42.0
1.5,-1.5
9.0,8.0
7.0,4.5
0.0,-2.5
7.5,6.5
0.0,-1.0
2.5,-1.5
1.0,0.0
20.5,16.5
4.0,1.0
1.5,-0.5
12.5,11.0
0.5,-2.0
1.0,-1.0
-0.5,-0.5
5.0,4.0
1.0,-0.5
0.5,-2.0
0.0,-2.0
-1.0,-2.5
7.0,6.0
3.5,0.5
244.5,243.5
-2.0,-0.5
18.0,15.5
1.5,0.0
11.0,7.5
1.0,0.0
3.5,1.0
2.0,2.0
1.0,4.0
12.5,10.0
5.5,3.5
1.0,0.0
9.0,30.5
-0.5,-2.5
1.0,0.0
18.0,19.0
5.0,2.5
5.0,22.5
1.5,-1.0
4.0,2.0
0.0,-1.5
-0.5,-3.5
1.5,-1.5
1.5,0.5
0.0,-2.5
4.5,3.5
0.5,-1.5
-2.5,3.0
2.0,1.0
1.5,3.0
2.0,-1.0
0.5,-1.5
-0.5,-1.5
-1.5,-2.5
24.5,21.0
1.0,-2.0
0.0,-3.0
1.5,-0.5
5.0,2.0
5.0,3.0
3.0,1.0
6.5,4.5
2.0,-1.0
1.0,-1.0
5.0,3.0
22.5,22.5
3.0,-0.5
-3.0,-5.0
1.0,-0.5
4.5,3.0
1.5,1.5
61.5,60.0
-2.5,-2.0
0.0,13.5
2.5,0.0
0.5,-1.5
7.5,14.0
10.0,7.5
23.5,20.0
-1.0,-3.5
9.0,9.0
4.0,2.0
12.5,23.0
0.0,-2.5
3.0,1.5
3.5,0.5
-1.5,-3.0
17.5,14.0
6.0,2.5
0.5,-2.0
17.5,16.0
9.5,8.5
2.5,-1.0
2.0,-1.0
-1.0,-2.5
5.5,4.0
3.5,5.5
