BARI CENTRALE,MOLFETTA
1.0,-1.0
-2.0,16.0
-1.5,-1.5
-5.0,-3.5
-1.5,-2.0
-2.5,0.5
3.5,-2.5
-3.5,-1.5
2.5,0.0
-1.5,-2.5
-3.5,-3.0
-2.5,-2.5
-2.0,-2.5
1.0,-3.5
-4.0,-3.0
-1.0,-2.0
-4.0,-1.0
-2.5,-2.0
2.0,-2.0
-1.0,1.5
3.0,-3.5
-1.5,-0.5
-2.0,-1.0
-3.5,-0.5
-0.5,-2.5
58.5,58.0
31.0,4.5
7.0,9.0
-1.0,-2.5
-1.0,0.0
5.0,2.0
3.0,7.5
-2.5,-1.0
10.0,3.0
-5.0,0.0
-3.0,4.0
-0.5,0.5
4.5,5.0
-1.5,-3.0
1.5,-2.0
-2.5,3.0
-4.0,-3.5
-2.5,-2.0
-1.5,1.0
-1.5,-2.0
8.5,4.0
-2.0,-3.0
0.0,6.0
-4.5,-1.0
0.0,-1.5
-3.5,-3.0
-1.0,2.5
-3.0,-2.0
4.5,-1.0
3.0,4.0
4.0,9.5
-0.5,-2.5
-2.0,-1.5
-1.5,0.5
0.5,-3.5
3.5,1.0
1.5,0.5
-3.5,-2.5
-0.5,-3.5
7.5,4.5
21.5,38.5
3.5,3.5
27.0,-1.0
-2.5,-0.5
0.0,3.5
8.0,1.5
-1.0,16.0
-3.5,-3.0
-1.5,0.0
-1.5,-2.5
0.5,-1.0
-2.5,-3.0
2.0,5.0
11.0,10.5
0.5,-1.5
33.5,22.0
-3.0,-1.5
2.0,-3.0
-1.0,-2.0
-3.5,5.0
0.5,-0.5
-0.5,-1.5
0.0,0.0
-3.5,-2.0
-4.0,-2.0
-3.0,-3.0
-2.5,-1.5
-2.5,0.5
-4.5,-2.5
-3.5,-3.5
8.0,5.5
0.0,-1.5
-1.0,-2.5
24.0,22.5
-1.5,-3.5
