PARMA,TORRILE S. POLO
20.0,22.5
0.0,1.5
2.5,4.5
0.0,1.5
0.0,3.0
0.0,2.5
1.0,6.5
1.0,5.0
0.0,2.0
1.0,5.0
0.0,1.5
2.5,9.0
0.0,3.5
0.0,1.5
0.0,2.0
0.0,1.5
0.0,3.0
0.0,3.0
0.0,3.0
0.0,2.0
4.5,7.0
0.0,2.0
1.0,6.0
0.0,2.0
0.0,0.5
0.0,1.5
0.5,3.0
1.5,4.5
0.0,2.0
0.0,1.0
0.0,4.0
1.5,5.0
0.0,3.5
0.0,2.5
2.5,4.5
0.5,2.5
1.0,3.5
0.0,3.5
0.0,2.5
2.5,7.0
0.0,1.0
0.0,2.5
0.0,2.5
0.0,1.5
0.0,1.5
0.5,1.0
0.0,2.5
0.0,0.5
0.0,3.5
0.0,1.5
0.0,2.0
0.0,4.0
0.0,2.5
0.0,1.5
0.0,3.0
11.5,15.0
0.0,4.0
2.0,5.5
0.0,2.0
0.0,2.5
0.0,8.0
0.0,3.5
0.0,2.5
0.0,1.5
1.0,5.0
0.0,0.5
0.0,3.5
0.0,1.5
0.0,1.5
0.0,1.0
0.0,3.0
0.0,3.0
0.0,3.5
0.0,3.5
0.0,2.5
0.0,1.5
0.0,3.5
0.5,3.5
0.0,2.0
0.0,2.5
1.5,5.0
0.5,5.0
0.0,2.0
4.0,7.5
0.0,6.0
0.0,7.5
1.0,4.0
0.0,1.0
0.0,1.0
0.5,3.0
0.0,1.5
0.0,6.0
0.0,8.0
0.0,2.5
0.0,2.5
2.5,5.5
0.0,1.5
1.5,2.5
0.0,1.0
0.0,2.0
