CODOGNO,CASALPUSTERLENGO
-1.5,0.0
-1.5,0.0
0.0,1.0
0.5,1.0
-1.5,0.5
0.5,2.0
0.0,1.0
8.0,8.5
0.0,1.0
-0.5,0.5
0.0,1.0
-2.0,0.0
0.5,1.5
-0.5,0.0
-1.0,0.5
-1.0,-0.5
-2.0,0.5
0.0,1.0
0.0,0.5
0.0,0.5
0.5,1.5
-1.0,0.5
-1.0,0.0
0.0,0.5
1.5,2.5
1.5,2.0
-2.0,0.5
10.0,10.0
0.0,1.0
-1.0,0.5
-1.0,0.5
-1.0,0.5
11.0,12.0
0.5,1.5
-0.5,0.0
-0.5,0.0
-1.0,-0.5
-2.5,0.0
-1.0,0.0
-1.0,0.0
-1.0,-0.5
1.5,2.5
-2.0,-0.5
8.5,9.0
17.0,17.5
1.5,2.5
0.5,1.5
13.0,13.5
-1.0,0.5
-1.5,0.5
-1.5,1.0
-1.5,0.5
9.5,10.5
-1.0,0.0
3.5,7.0
0.0,0.5
0.5,1.0
-1.5,-0.5
-1.0,1.0
1.0,1.5
-2.0,-0.5
-0.5,0.5
-1.0,0.0
-1.5,0.5
1.0,1.5
-0.5,1.0
-0.5,0.5
0.5,1.0
-1.5,-1.0
-1.0,0.0
-0.5,0.5
13.0,14.0
-0.5,1.0
0.0,0.5
3.5,5.0
1.5,3.0
-1.5,-0.5
-1.0,0.5
12.0,12.5
0.0,1.0
-1.0,0.0
-1.5,1.0
-2.5,-1.0
-1.0,0.5
2.0,3.0
0.0,1.0
0.0,0.5
-1.5,0.0
0.0,1.5
-0.5,0.5
-0.5,0.0
-1.5,0.0
-0.5,0.5
-1.0,0.0
-0.5,0.0
29.5,30.0
-2.0,-0.5
0.0,1.5
2.5,3.0
0.5,1.0
