RAVENNA,LUGO
2.0,3.0
8.0,5.5
2.0,4.0
2.0,3.5
1.0,0.5
2.0,3.5
2.5,4.5
2.0,-1.5
1.5,2.5
3.5,3.0
1.5,1.0
1.5,3.0
5.0,3.5
1.5,3.5
1.5,-1.0
1.0,1.0
4.5,2.5
1.5,4.0
1.0,6.0
1.0,4.5
1.5,-3.0
9.0,11.5
4.0,3.5
1.5,4.0
1.5,3.5
3.5,4.5
1.5,1.5
3.0,5.0
4.5,0.5
1.5,3.5
2.0,2.0
7.5,2.5
2.0,5.5
3.0,4.0
20.0,25.0
1.5,2.5
1.0,3.5
2.0,4.0
2.0,1.0
2.5,0.0
2.0,5.0
2.0,5.0
2.0,0.5
2.0,2.5
2.5,5.5
9.5,16.5
1.5,3.5
1.0,2.0
2.5,4.5
1.5,3.0
2.5,4.5
1.0,0.5
1.5,0.5
2.0,3.5
1.5,0.5
1.0,2.0
1.5,1.0
1.5,-3.0
2.0,-3.5
37.5,43.0
4.5,7.0
1.0,-0.5
1.5,2.5
1.0,2.0
1.5,1.5
1.0,2.5
2.0,1.0
1.5,1.5
1.5,2.5
1.5,4.0
8.0,12.0
3.0,2.5
1.5,0.5
2.5,5.5
1.5,1.5
2.0,2.5
1.5,1.0
1.5,1.0
3.0,1.0
21.5,22.5
1.5,3.0
2.5,1.5
1.5,6.0
6.5,7.0
2.0,3.0
6.5,7.0
1.5,3.0
1.5,3.0
2.5,1.5
1.5,2.5
1.5,2.0
6.0,5.0
2.0,4.0
1.0,0.5
1.0,-0.5
72.0,68.5
2.5,3.5
18.5,16.5
2.0,-2.0
2.0,1.5
