PESCARA,GIULIANOVA
2.0,4.0
1.0,2.0
1.0,3.0
1.5,2.5
1.5,2.5
1.5,3.5
1.5,3.0
1.0,0.0
1.5,1.0
1.0,1.5
1.0,1.5
2.0,2.5
2.0,2.5
1.5,8.5
1.0,5.5
3.5,4.5
3.0,2.5
1.5,0.5
1.5,3.0
4.0,4.5
1.5,1.5
1.0,1.5
0.5,2.0
2.0,2.5
1.0,2.5
59.5,60.0
1.5,0.0
1.0,3.5
2.0,12.0
1.0,1.5
1.0,2.5
1.0,2.5
2.5,2.5
2.0,3.5
2.0,3.5
2.0,3.0
1.0,2.0
0.5,1.0
1.5,0.5
1.5,3.5
1.0,3.0
1.0,1.0
1.0,1.5
1.0,0.5
1.0,1.5
0.5,1.0
1.0,1.5
1.5,5.0
1.0,1.0
1.0,3.0
1.5,1.5
1.5,3.5
1.0,1.0
0.5,1.5
0.5,1.5
2.0,3.5
1.0,2.5
0.5,2.0
1.0,3.5
1.5,2.0
0.5,1.5
2.5,11.5
1.0,2.0
1.5,3.5
2.0,1.5
1.0,3.0
1.0,0.5
2.0,1.5
2.0,2.5
1.5,2.5
1.0,3.0
1.0,-0.5
15.0,15.0
1.5,1.5
1.5,1.0
1.0,1.0
1.5,2.0
1.5,3.5
0.5,1.0
1.0,1.5
1.0,0.0
1.5,9.5
2.0,1.5
0.5,0.5
1.0,4.5
1.5,1.5
1.5,2.5
0.5,1.5
2.0,2.0
1.5,3.0
2.5,2.5
1.5,3.0
1.0,0.0
1.5,2.0
0.5,0.5
1.0,0.5
1.5,0.5
1.5,1.5
1.5,2.5
1.0,1.0
