TERME EUGANEE-ABANO-MONTEGR.,MONSELICE
0.0,-1.5
-1.0,-2.0
0.5,-1.0
24.5,23.5
1.5,1.0
0.5,-1.0
-0.5,-2.0
-3.0,-1.5
0.0,-1.0
2.0,-0.5
5.5,3.5
1.5,-1.0
-1.0,-2.5
-1.5,-2.5
11.5,10.5
1.0,-0.5
-0.5,-2.5
0.5,-0.5
2.5,1.5
3.5,1.5
-0.5,-3.0
1.0,-1.5
-1.0,-1.5
-1.0,-3.0
8.0,7.0
-1.0,3.0
-0.5,-2.0
13.5,18.5
1.5,0.5
0.0,-1.0
-2.0,-3.0
0.0,2.0
1.0,-0.5
1.0,0.0
-1.0,-2.0
2.0,1.0
0.5,-2.0
1.0,-0.5
-2.0,-2.5
0.0,-2.0
22.5,23.5
1.5,-0.5
1.0,-0.5
-0.5,-1.5
1.5,-0.5
4.0,3.0
-2.0,0.0
-1.0,-2.0
0.5,-1.5
0.0,-1.5
-2.0,-1.0
-1.0,-3.0
-1.5,-2.5
-0.5,-2.5
0.5,-1.5
1.0,-1.0
1.0,-1.0
1.0,-0.5
0.5,-1.0
1.5,0.0
-1.5,-3.0
0.0,-2.0
1.0,-1.0
0.0,-2.0
-1.0,-2.5
6.0,4.0
2.0,1.0
2.0,0.0
0.0,-1.5
7.5,5.0
14.0,14.0
1.5,-1.0
0.0,-2.5
0.5,-1.5
0.0,-2.0
2.5,1.0
-2.5,-2.5
1.0,-1.0
-1.0,-2.5
0.0,-2.0
2.5,1.0
3.0,1.0
0.0,-1.0
0.5,-1.5
0.0,-1.5
1.5,1.0
0.0,-2.0
-1.0,-2.0
-0.5,-3.0
5.5,4.0
1.0,-1.0
2.0,0.0
5.0,3.0
1.0,-0.5
1.0,-1.5
1.5,-1.0
1.0,0.0
4.0,4.0
-1.0,-3.0
0.0,-1.5
