FIRENZE S.M.N.,BOLOGNA C.LEAV
6.0,6.5
3.5,1.5
2.0,3.5
0.5,0.0
-2.5,-4.5
7.0,4.0
-7.0,-2.0
9.5,14.0
10.0,9.5
11.0,5.5
0.5,-1.5
10.0,7.0
-2.5,-2.0
2.5,-4.5
-5.0,-6.5
4.5,3.5
-1.0,0.5
4.0,1.5
12.0,10.5
7.0,10.0
5.0,1.5
58.5,65.5
4.0,10.5
2.5,5.5
12.5,4.5
16.0,14.0
1.5,-3.5
-2.5,-2.5
2.0,10.5
0.5,0.0
-3.0,4.5
-2.5,-3.0
-3.0,0.5
-0.5,0.5
1.0,-0.5
-1.0,0.0
1.5,-2.5
1.5,9.5
23.5,21.5
1.0,-3.0
5.5,-1.0
-1.0,-4.5
0.0,-2.5
4.5,1.0
4.0,4.5
3.0,0.0
4.0,4.0
9.0,12.5
10.0,6.0
0.0,6.5
7.0,3.5
2.5,1.0
4.5,5.5
4.0,8.5
3.0,6.0
6.0,6.0
1.5,2.0
9.5,41.5
6.0,20.5
11.0,9.0
-2.0,1.5
3.5,1.0
0.5,-2.5
11.0,61.0
-1.0,0.5
-3.5,-2.5
0.5,3.5
2.0,0.5
2.0,9.0
0.0,-5.0
1.5,-2.5
0.0,-3.5
2.0,16.0
1.0,4.5
7.5,20.0
5.0,-2.5
-0.5,0.0
5.5,0.0
2.5,6.5
0.5,8.0
7.5,22.0
7.5,8.5
4.0,-2.0
2.5,6.0
5.5,4.5
-1.5,0.0
4.5,4.0
2.0,-0.5
0.0,-4.5
2.5,-1.5
7.0,2.5
-4.5,-3.0
7.0,5.0
6.0,4.5
10.0,12.0
-2.0,0.5
-2.5,-3.0
0.0,-0.5
4.0,16.0
7.5,4.5
