FERRARA,POGGIO RENATICO
1.0,4.0
1.0,4.5
5.0,8.5
10.5,14.0
3.0,7.5
1.5,4.5
1.0,5.5
12.5,17.0
2.5,5.5
11.5,15.0
1.5,4.0
1.0,4.0
2.0,5.5
2.5,6.5
3.0,7.5
3.0,6.5
14.5,16.5
1.0,4.0
1.0,3.0
2.0,5.0
1.0,4.0
0.5,3.5
0.5,3.5
1.0,5.0
0.0,2.5
1.0,4.0
1.0,4.0
5.0,7.5
1.5,5.5
17.0,21.0
2.0,6.0
19.0,22.0
0.5,5.0
3.0,7.0
10.0,15.0
1.0,5.5
21.5,25.0
1.0,5.0
9.0,13.5
20.0,25.5
3.0,7.5
2.0,5.5
1.5,6.0
0.0,5.5
6.0,11.0
19.5,22.0
1.0,3.5
1.0,3.0
2.5,4.5
4.0,7.0
0.5,1.0
0.5,4.0
14.0,16.0
2.0,4.0
0.5,4.5
3.5,9.5
14.5,18.0
1.0,3.5
8.5,11.0
8.5,13.0
3.0,7.0
0.5,5.5
18.0,21.5
0.5,2.0
3.0,6.5
1.0,3.0
4.0,6.0
0.5,3.0
3.0,4.5
1.0,3.5
1.5,4.5
1.0,1.0
0.5,3.5
1.5,4.0
0.5,3.5
3.5,8.0
1.0,5.0
16.5,19.5
1.0,4.0
3.0,6.5
1.0,4.5
3.5,6.5
3.5,6.0
6.5,9.5
11.5,14.5
11.5,13.5
14.0,17.0
1.0,5.0
4.0,7.0
7.0,10.5
2.0,5.5
2.5,5.5
1.5,6.0
3.0,7.0
5.5,10.0
1.0,4.5
1.5,4.5
4.0,6.5
1.0,2.5
0.5,2.0
