NAPOLI CENTRALE,ROMA TERMINI
3.0,5.0
12.0,4.0
-2.5,5.0
-4.5,0.0
2.5,5.0
1.5,13.0
-1.0,2.0
-2.5,0.0
1.0,5.0
-0.5,8.0
-6.0,7.0
3.0,0.0
21.0,23.0
3.5,-2.0
2.5,-1.0
15.0,6.0
-2.0,2.0
1.5,13.0
-1.0,1.0
0.5,7.0
-8.5,4.0
1.0,4.0
13.0,2.0
0.5,0.0
-2.0,-3.0
-3.5,4.0
0.0,7.0
-1.5,-5.5
-1.0,0.0
22.5,25.0
3.0,3.0
5.0,3.0
19.0,22.0
-4.0,-1.0
2.5,0.0
-7.5,-2.0
-4.0,13.0
17.0,17.0
-1.5,6.0
-4.5,3.0
-1.0,0.0
3.5,0.0
-1.5,1.0
2.0,2.0
-2.0,0.0
-2.5,-7.0
2.0,1.0
-6.0,-2.0
-2.0,5.0
-1.5,-2.0
3.5,2.0
7.5,4.0
3.5,0.0
3.0,0.0
-5.0,6.0
-6.0,2.0
-1.0,8.0
-5.5,-5.0
-2.5,4.0
-7.0,15.0
-3.0,4.0
-2.0,-7.0
-4.5,2.0
11.0,3.0
-5.5,6.0
-3.0,2.0
-2.0,3.0
-6.5,2.0
-0.5,6.0
0.5,2.0
-2.0,8.0
-2.0,5.0
-5.5,1.0
-9.0,-3.0
-4.5,8.0
-2.0,-4.0
-2.5,5.0
-0.5,2.0
1.0,0.0
2.5,0.0
-1.0,0.0
-3.5,-4.0
-4.0,0.0
-9.0,-4.0
1.0,7.0
-6.5,7.0
0.5,2.0
2.0,16.0
-2.0,-1.0
-3.0,-5.0
-0.5,0.0
-1.5,2.0
2.0,0.0
-4.0,6.0
0.5,4.0
-8.0,-2.5
-0.5,0.0
-1.5,3.0
2.0,8.0
-2.0,2.0
