ANZOLA,SAMOGGIA
2.5,2.0
1.0,1.0
1.5,1.0
0.0,1.0
1.0,1.0
2.0,1.5
1.0,1.0
1.5,1.5
3.0,2.5
16.0,20.5
0.5,1.5
0.0,1.0
0.5,0.5
1.5,1.5
0.5,1.0
2.5,2.0
-0.5,1.0
3.5,3.0
1.0,1.0
3.0,3.0
0.0,1.0
1.0,1.5
1.5,1.5
0.5,1.5
2.0,1.5
1.5,1.5
3.0,2.5
0.5,0.5
0.5,1.0
1.0,1.0
4.0,4.0
2.0,1.5
5.5,4.5
0.5,1.0
3.0,3.0
1.0,1.0
6.0,6.0
1.5,1.0
2.5,1.5
0.0,0.5
4.0,3.0
1.0,1.0
0.5,1.5
1.5,1.5
2.0,2.0
0.5,1.0
1.0,1.0
0.0,1.0
1.0,1.0
10.5,9.5
1.0,0.5
1.5,1.0
1.0,1.5
0.5,1.5
0.5,1.0
2.5,2.0
1.0,1.0
5.0,4.0
2.0,1.5
1.5,1.5
3.0,2.5
1.0,1.0
1.0,1.0
2.0,2.5
1.0,1.0
1.5,1.0
1.0,1.0
1.0,1.0
3.0,2.5
1.5,1.5
1.0,1.0
5.0,4.0
2.5,3.0
3.0,2.5
1.0,4.5
1.5,1.5
1.5,1.0
1.5,1.5
1.0,1.5
1.0,1.0
1.5,2.0
2.5,1.5
1.0,0.5
4.0,4.5
2.0,1.0
1.5,1.5
1.5,1.0
24.0,23.5
53.5,53.0
18.0,17.0
1.5,0.5
1.0,1.0
1.0,1.0
6.0,8.0
2.5,3.0
2.0,1.5
2.5,2.0
2.0,2.5
2.0,2.0
41.0,40.0
