NAPOLI AFRAGOLA,ROMA TERMINI
-0.5,6.0
0.0,3.0
0.0,1.0
4.0,8.0
8.0,12.0
-1.0,8.0
0.5,5.0
1.0,6.0
-1.0,2.0
-1.0,9.0
1.0,11.0
2.0,10.0
2.5,18.0
6.0,7.0
0.5,16.0
0.5,2.0
2.5,5.0
2.0,4.0
0.5,2.0
0.5,5.0
-0.5,4.0
-0.5,3.0
5.5,4.0
-1.0,0.0
2.5,11.0
0.0,2.0
97.5,240.0
2.0,2.0
0.5,7.0
3.5,8.0
0.5,17.0
0.0,5.0
6.0,6.0
4.5,4.0
0.5,5.0
-0.5,7.0
2.5,3.0
2.5,5.0
0.5,4.0
-1.0,4.0
5.5,15.0
0.5,0.0
1.0,6.0
0.5,3.0
1.5,14.0
0.0,1.0
26.0,27.0
-0.5,26.0
2.0,8.0
6.0,8.0
3.0,4.0
0.5,0.0
14.5,16.0
6.5,11.0
1.0,7.0
-1.5,0.0
-1.0,1.0
4.5,9.0
3.5,6.0
-0.5,2.0
4.0,7.0
0.0,5.0
1.0,4.0
-1.0,5.0
3.0,8.0
2.5,3.0
1.5,2.0
3.0,8.0
-1.0,2.0
-1.0,2.0
0.5,4.0
4.5,10.0
10.5,19.0
0.0,4.0
1.0,4.0
2.5,8.0
-0.5,8.0
5.5,5.0
2.5,3.0
3.0,16.0
2.0,7.0
0.5,4.0
-1.0,3.0
-0.5,0.0
1.5,6.0
1.5,4.0
2.0,3.0
0.0,1.0
2.0,2.0
0.0,4.0
1.5,4.0
-0.5,4.0
14.0,15.0
3.5,9.0
-1.0,4.0
2.5,7.0
-0.5,0.0
0.5,5.0
-1.5,3.0
1.0,4.0
