FIRENZE S.M.N.,AREZZO
-0.5,0.0
-1.0,-0.5
-6.0,0.0
-6.0,0.0
1.0,-2.0
-6.5,-2.5
-6.5,-5.5
10.5,10.5
-5.5,-2.5
2.5,7.0
-4.0,-3.0
0.5,-1.5
-7.5,4.0
-7.0,-3.0
8.0,11.5
-7.5,-2.5
-2.0,-3.0
4.5,5.5
-6.5,-4.0
7.5,3.5
-6.0,-1.5
-5.5,-2.5
12.0,13.0
-5.0,-2.5
4.5,10.0
-6.5,-5.0
4.5,0.5
3.5,4.5
-2.0,-1.5
-6.5,-3.0
-4.0,-2.0
-5.0,-4.0
-5.0,4.5
-6.5,0.0
-8.0,-3.0
-7.0,-2.5
-2.5,-2.0
4.5,-0.5
-1.0,6.5
19.5,16.0
7.5,10.5
0.0,0.0
15.0,13.0
1.5,1.0
-7.0,-4.5
-5.5,-3.0
13.0,9.5
-7.0,-2.0
23.0,20.0
3.0,4.5
28.0,28.5
-7.5,-4.0
6.0,1.5
13.0,11.5
-6.5,-2.0
3.5,0.0
-1.5,-2.0
4.0,2.0
-6.5,-2.5
7.5,5.0
6.0,5.5
-3.0,0.5
-5.5,-2.5
-0.5,0.5
2.0,2.0
-7.5,-2.5
0.5,5.0
-6.0,-2.0
7.5,9.5
2.5,1.0
-1.0,-1.0
-6.5,-0.5
-5.0,-5.5
-6.0,-4.0
7.5,12.0
2.0,0.0
-3.0,6.5
-2.5,-1.5
-6.5,-2.5
0.5,1.0
0.0,1.0
-7.0,2.0
4.0,6.0
8.5,12.0
5.5,6.5
-7.0,4.0
-7.0,1.0
-5.5,-3.0
10.5,5.0
-1.5,0.0
-7.0,0.5
9.5,5.0
2.0,8.5
6.0,10.0
0.5,0.5
2.0,-1.0
-6.5,3.0
0.0,0.0
-6.0,-3.5
7.0,5.0
