stz1,stz2
54.0,64.0
69.0,68.5
49.0,48.0
58.0,55.5
46.0,46.0
50.5,60.0
94.0,109.5
83.5,106.5
54.5,56.5
39.5,44.5
61.0,62.0
46.0,47.0
42.0,42.0
32.0,34.0
42.0,40.0
46.5,47.0
35.5,36.0
42.0,39.0
55.5,55.0
36.0,34.5
98.5,106.0
38.5,37.0
36.0,36.5
39.5,41.5
34.5,33.0
42.5,42.0
31.0,33.0
67.0,69.0
39.0,39.0
59.0,57.5
69.0,70.5
59.5,60.0
59.5,76.5
111.5,113.0
43.5,43.5
30.5,36.5
35.5,36.5
30.5,31.5
33.5,34.5
42.5,40.5
98.5,106.0
38.0,35.5
31.0,41.0
39.5,47.5
41.5,43.5
38.5,37.0
36.0,36.5
32.5,31.5
39.5,41.5
34.5,33.0
42.5,42.0
31.0,33.0
67.0,69.0
56.0,58.0
39.0,39.0
38.0,35.5
44.5,44.5
33.5,31.0
59.0,57.5
69.0,70.5
32.5,33.0
139.0,135.0
40.5,41.0
32.0,31.0
50.5,50.0
34.0,33.0
79.5,84.0
53.0,52.0
77.5,74.0
46.0,48.0
75.5,72.0
83.5,81.0
44.0,42.0
39.5,36.0
35.0,32.0
37.5,34.0
40.5,46.0
53.5,53.0
105.5,105.0
98.0,110.0
57.0,57.0
89.5,89.0
144.5,146.0
93.5,89.0
49.0,46.0
155.5,166.0
113.0,124.5
104.0,112.5
37.0,43.5
131.0,129.5
33.0,37.5
61.0,59.0
113.5,116.5
119.5,125.0
35.5,41.5
45.5,44.5
44.0,45.5
50.5,49.5
49.5,51.0
86.0,87.0
37.0,41.0
35.0,31.0
52.0,50.0
135.0,152.5
34.0,34.5
33.0,31.0
63.0,71.0
63.0,65.5
53.0,44.0
56.0,54.5
37.0,40.0
32.0,49.0
48.0,49.0
45.0,52.0
46.0,43.5
40.0,38.0
35.0,43.5
33.0,44.0
36.0,49.5
46.0,47.0
45.0,44.5
39.0,36.5
63.0,69.5
42.0,43.0
38.0,38.0
120.0,162.0
49.5,48.5
52.0,58.0
45.5,43.5
64.5,71.5
42.0,73.0
43.0,41.5
36.0,38.0
54.5,54.0
36.5,32.5
38.5,38.5
33.5,31.5
63.0,59.0
52.0,56.0
73.5,73.5
