stz2,stz3
64.0,74.5
74.0,119.5
35.0,43.5
68.5,75.5
48.0,49.0
55.5,55.0
46.0,50.0
60.0,78.0
109.5,139.0
106.5,109.0
44.5,47.5
62.0,68.5
47.0,45.5
42.0,42.5
34.0,57.5
44.0,53.0
40.0,38.5
88.5,94.0
47.0,59.0
36.0,34.0
50.5,46.0
42.0,38.5
36.5,36.0
44.5,40.5
35.5,34.0
54.0,48.0
39.0,35.5
46.5,42.0
32.5,32.5
36.0,35.0
44.5,41.0
55.0,50.5
38.0,30.5
71.0,81.0
67.0,62.5
51.5,46.5
41.0,39.5
33.0,32.0
55.5,50.0
88.5,99.0
57.0,56.0
89.0,86.0
146.0,142.0
89.0,85.0
46.0,42.0
166.0,165.0
124.5,123.0
112.5,109.0
43.5,41.0
129.5,126.0
37.5,33.0
59.0,57.0
116.5,113.0
125.0,123.0
41.5,40.0
44.5,39.0
45.5,42.0
49.5,45.0
87.5,86.0
51.0,47.0
45.0,42.5
40.0,43.5
102.0,108.0
91.0,92.0
37.0,36.5
49.5,49.5
54.5,56.0
43.0,47.0
37.0,41.5
38.5,37.0
43.5,42.5
37.5,39.5
48.0,50.5
84.5,85.5
39.0,38.5
55.0,59.0
35.0,34.5
45.0,45.5
52.5,54.5
39.5,41.0
64.0,74.5
74.0,119.5
35.0,43.5
68.5,75.5
48.0,49.0
55.5,55.0
46.0,50.0
60.0,78.0
109.5,139.0
106.5,109.0
44.5,47.5
62.0,68.5
47.0,45.5
42.0,42.5
34.0,57.5
44.0,53.0
40.0,38.5
88.5,94.0
47.0,59.0
36.0,34.0
50.5,46.0
42.0,38.5
36.5,36.0
44.5,40.5
35.5,34.0
54.0,48.0
39.0,35.5
46.5,42.0
32.5,32.5
36.0,35.0
44.5,41.0
55.0,50.5
38.0,30.5
71.0,81.0
67.0,62.5
51.5,46.5
41.0,39.5
33.0,32.0
55.5,50.0
88.5,99.0
57.0,56.0
89.0,86.0
146.0,142.0
89.0,85.0
46.0,42.0
166.0,165.0
124.5,123.0
112.5,109.0
43.5,41.0
129.5,126.0
37.5,33.0
59.0,57.0
116.5,113.0
125.0,123.0
41.5,40.0
44.5,39.0
45.5,42.0
49.5,45.0
87.5,86.0
51.0,47.0
45.0,42.5
40.0,43.5
102.0,108.0
91.0,92.0
37.0,36.5
49.5,49.5
54.5,56.0
43.0,47.0
37.0,41.5
38.5,37.0
43.5,42.5
37.5,39.5
48.0,50.5
84.5,85.5
39.0,38.5
55.0,59.0
35.0,34.5
45.0,45.5
52.5,54.5
39.5,41.0
