stz1,stz2
3.5,3.0
2.5,2.0
7.5,6.0
4.5,2.0
8.0,2.5
7.0,4.5
0.5,2.5
2.0,2.5
2.5,1.5
3.0,1.5
1.5,2.5
1.5,0.5
2.0,2.0
10.5,13.0
1.0,0.5
2.0,0.5
2.0,1.5
2.5,3.5
3.0,1.5
2.5,6.0
1.5,7.0
1.0,0.5
1.0,0.5
1.5,3.5
1.5,0.5
1.5,1.0
1.0,0.5
1.0,0.5
1.0,0.5
1.5,2.0
1.0,0.5
1.0,0.5
1.5,1.0
1.0,0.5
1.5,1.0
1.5,0.5
0.5,0.5
1.0,8.0
1.5,0.5
1.0,0.5
1.5,1.5
2.5,0.5
3.5,3.5
2.5,2.5
2.5,1.0
4.0,1.5
2.5,1.0
5.5,5.5
2.0,0.5
2.0,4.0
2.5,1.0
3.5,3.5
2.0,3.5
1.5,0.5
1.5,2.0
1.0,2.5
0.5,0.5
2.0,2.5
1.5,1.0
1.0,0.5
4.0,1.5
6.0,5.5
3.5,3.0
7.5,12.5
8.5,7.0
11.5,8.0
7.5,9.0
2.5,1.0
1.0,2.0
9.5,6.0
4.5,7.0
9.5,5.0
68.0,62.5
2.5,8.0
5.0,3.0
5.0,2.5
3.0,1.0
12.0,6.0
5.0,3.0
2.0,1.5
11.0,8.5
5.0,2.5
1.0,1.5
5.0,5.5
1.0,5.0
5.0,2.0
16.0,10.5
3.0,0.5
4.0,4.0
10.0,8.5
10.0,4.0
14.0,12.5
1.0,18.5
4.0,8.0
6.0,1.0
1.0,2.0
4.0,3.0
9.0,5.5
4.0,1.0
42.0,45.5
2.0,1.0
2.5,0.5
4.0,1.0
4.5,2.0
4.0,3.0
2.0,3.0
7.5,6.0
5.5,3.0
4.0,1.0
4.0,3.0
3.5,1.0
3.0,1.0
2.0,10.0
4.0,1.0
13.5,10.5
3.0,0.5
3.0,4.5
5.0,15.0
2.5,1.0
5.0,2.5
4.0,2.5
3.5,1.0
6.5,51.0
0.5,2.0
6.5,8.0
6.0,4.5
4.5,4.0
0.5,2.5
5.0,6.0
3.0,4.5
4.0,5.5
2.0,3.5
8.0,3.0
1.0,4.0
2.5,1.5
