day,timeslot_delay
22-01-2018,8.375
23-12-2017,12.0
27-09-2017,12.211538461538462
07-01-2018,8.738095238095235
27-11-2017,7.6132075471698135
18-10-2017,7.4846153846153864
08-12-2017,7.4846153846153864
03-02-2018,7.191011235955055
14-11-2017,7.191011235955055
20-10-2017,7.1000000000000005
01-11-2017,6.643478260869566
07-02-2018,6.53125
18-11-2017,6.116197183098592
24-10-2017,5.889610389610385
14-12-2017,5.889610389610385
05-10-2017,6.152173913043478
26-01-2018,6.0174418604651185
27-12-2017,6.316753926701571
17-12-2017,5.889671361502346
10-10-2017,5.8568281938326
29-01-2018,5.9282700421940895
04-11-2017,5.826612903225807
23-11-2017,5.7318007662835235
01-12-2017,5.673992673992676
09-10-2017,5.791958041958042
03-01-2018,5.870370370370371
05-12-2017,5.856451612903226
12-02-2018,5.856451612903226
20-12-2017,5.8566978193146415
17-01-2018,6.049253731343284
14-10-2017,5.922190201729105
08-11-2017,5.836619718309858
13-11-2017,5.782967032967031
02-10-2017,5.876358695652174
19-10-2017,5.994708994708994
28-09-2017,5.966580976863753
04-02-2018,5.940533980582523
06-01-2018,5.873809523809523
07-12-2017,5.942757009345793
30-11-2017,6.078475336322872
23-01-2018,6.042951541850221
24-12-2017,5.941810344827585
10-01-2018,5.941810344827585
27-01-2018,5.9905462184873945
28-12-2017,6.092814371257484
23-10-2017,6.166342412451363
17-11-2017,6.176864244741873
02-11-2017,6.124765478424016
06-10-2017,6.218634686346866
13-12-2017,6.238434163701065
16-12-2017,6.091766723842194
27-10-2017,6.091766723842194
08-02-2018,6.07828282828283
31-01-2018,6.039473684210528
05-11-2017,5.949599999999998
11-10-2017,5.910094637223973
22-11-2017,5.872110939907553
04-12-2017,5.9513473053892225
15-10-2017,5.926169590643276
26-11-2017,5.897872340425532
02-01-2018,5.911971830985914
21-12-2017,5.887966804979253
09-11-2017,5.887966804979253
18-01-2018,5.97699594046008
29-11-2017,5.998013245033113
01-02-2018,5.960988296488945
29-09-2017,5.9449423815621
24-01-2018,6.023929471032747
25-12-2017,5.959727385377942
03-10-2017,6.016503667481664
12-12-2017,6.048736462093864
22-10-2017,6.016129032258065
29-12-2017,6.000595238095237
07-10-2017,6.022300469483568
28-01-2018,6.002853881278538
16-11-2017,6.052423900789176
03-11-2017,6.021763392857144
05-02-2018,6.034140969162997
09-01-2018,6.00656455142232
15-01-2018,6.036677454153183
30-12-2017,6.045940170940171
06-11-2017,6.042721518987343
15-12-2017,6.021784232365144
30-01-2018,6.02857142857143
10-02-2018,6.056004036326944
21-11-2017,6.087736789631106
01-01-2018,6.055445544554453
09-02-2018,6.085282651072125
12-10-2017,6.085282651072125
26-10-2017,6.117052023121388
16-10-2017,6.1425855513308
30-09-2017,6.159624413145543
05-01-2018,6.15671641791045
19-01-2018,6.181944444444447
31-10-2017,6.159798534798531
20-01-2018,6.146951774340307
22-12-2017,6.110663082437279
19-12-2017,6.079964850615115
25-11-2017,6.071552471812661
08-01-2018,6.106282271944923
26-09-2017,6.256170212765954
02-02-2018,6.257154882154885
21-01-2018,6.236447039199332
04-10-2017,6.281585466556557
15-11-2017,6.415579119086448
17-10-2017,6.430476960388036
28-11-2017,6.475580464371504
08-10-2017,6.434179222839013
06-02-2018,6.421899529042393
11-12-2017,6.422808378588048
21-10-2017,6.442012288786478
25-01-2018,6.459757023538332
26-12-2017,6.4336581709145335
20-11-2017,6.449739389426648
16-01-2018,6.440370370370367
07-11-2017,6.44750367107195
31-12-2017,6.429454545454555
02-12-2017,6.429454545454555
11-02-2018,6.423104693140801
25-10-2017,6.406160458452715
19-11-2017,6.383250532292414
04-01-2018,6.390106007067143
30-10-2017,6.380098452883265
24-11-2017,6.362020905923336
13-10-2017,6.38131487889273
06-12-2017,6.4323770491803245
01-10-2017,6.409459459459454
18-12-2017,6.375416389073944
