NAPOLI AFRAGOLA,ROMA TERMINI
0.5,1.0
5.0,6.0
2.5,1.0
4.0,8.0
3.5,2.0
0.5,1.0
8.0,12.0
2.0,3.0
0.5,1.0
3.5,12.0
0.5,5.0
1.0,6.0
0.5,3.0
1.0,11.0
2.0,5.0
2.5,18.0
0.5,18.0
0.5,16.0
0.5,8.0
1.5,8.0
2.5,5.0
1.5,1.0
2.0,4.0
1.0,1.0
1.5,3.0
0.5,5.0
0.5,3.0
6.5,5.0
5.5,4.0
2.5,3.0
2.0,4.0
1.5,9.0
1.5,6.0
2.0,2.0
1.0,1.0
1.0,3.0
0.5,7.0
1.5,2.0
1.0,4.0
0.5,3.0
