FIORENZUOLA,CASTEL S.PIETRO TERME
2.5,3.0
0.5,2.0
1.0,1.5
1.0,2.0
0.5,3.0
1.5,2.0
1.0,8.0
0.5,3.5
1.5,1.5
1.5,1.5
1.0,29.0
1.0,1.5
0.5,1.0
1.0,1.0
0.5,3.5
1.0,3.5
1.0,1.5
1.0,4.5
0.5,1.0
0.5,1.0
0.5,1.5
1.0,0.5
0.5,1.0
1.5,3.0
0.5,4.0
1.5,1.0
0.5,0.5
0.5,1.0
0.5,2.5
0.5,1.0
0.5,0.5
0.5,2.5
0.5,4.0
1.0,2.0
0.5,6.0
0.5,21.5
1.5,1.5
0.5,1.5
1.5,0.5
0.5,1.5
