Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
20533	MANTOVA	27/09/17 11.29.00	27/09/17 11.32.30	3.5
20533	BORGOCHIESANUOVA	27/09/17 11.32.30	27/09/17 11.35.00	2.5
20533	LEVATA	27/09/17 11.35.30	27/09/17 11.37.00	1.5
20533	ROMANORE	27/09/17 11.42.00	27/09/17 11.44.00	2.0
20533	SUZZARA	27/09/17 11.51.00	27/09/17 11.52.00	1.0
20533	PALIDANO	27/09/17 11.58.30	27/09/17 12.00.30	2.0
20533	GONZAGA-REGGIOLO	27/09/17 12.04.00	27/09/17 12.05.00	1.0
20453	MANTOVA	27/09/17 05.37.00	27/09/17 05.39.30	2.5
20453	MANTOVA FRASSINE	27/09/17 05.43.00	27/09/17 05.45.30	2.5
20453	GAZZO DI BIGARELLO	27/09/17 05.50.00	27/09/17 05.52.00	2.0
20453	CASTEL D`ARIO	27/09/17 05.58.00	27/09/17 05.58.00	0.0
20453	BONFERRARO	27/09/17 06.04.00	27/09/17 06.00.30	-3.5
20453	NOGARA	27/09/17 06.13.00	27/09/17 06.10.00	-3.0
20453	SANGUINETTO	27/09/17 06.21.00	27/09/17 06.20.00	-1.0
20453	CEREA	27/09/17 06.26.00	27/09/17 06.28.30	2.5
20453	LEGNAGO	27/09/17 06.33.00	27/09/17 06.35.30	2.5
20453	BOSCHI S.ANNA	27/09/17 06.39.00	27/09/17 06.43.00	4.0
20453	BEVILACQUA	27/09/17 06.43.00	27/09/17 06.45.30	2.5
20453	MONTAGNANA	27/09/17 06.49.00	27/09/17 06.50.30	1.5
20453	SALETTO	27/09/17 06.56.00	27/09/17 06.57.00	1.0
20453	OSPEDALETTO EUGANEO	27/09/17 07.06.00	27/09/17 07.06.00	0.0
20453	ESTE	27/09/17 07.12.00	27/09/17 07.11.30	-0.5
20453	MONSELICE	27/09/17 07.21.00	27/09/17 07.19.30	-1.5
20453	PADOVA	27/09/17 07.40.00	27/09/17 07.37.30	-2.5
8523	BOLZANO	27/09/17 15.16.00	27/09/17 15.16.30	0.5
8523	TRENTO	27/09/17 15.45.00	27/09/17 15.43.00	-2.0
8523	ROVERETO	27/09/17 16.00.00	27/09/17 15.59.30	-0.5
8523	VERONA PORTA NUOVA	27/09/17 16.42.00	27/09/17 16.46.00	4.0
8523	BOLOGNA C.LE/AV	27/09/17 17.42.00	27/09/17 17.44.00	2.0
