FIUMICINO AEROPORTO,ROMA TERMINI,ROMA TIBURTINA,
1.5,2.0,2.5,2.5
0.5,1.0,1.5,1.5
1.0,1.0,1.0,1.0
0.5,5.0,6.0,6.0
1.0,3.0,2.0,2.0
0.5,1.0,2.5,2.5
2.5,1.0,1.5,1.5
1.5,4.0,1.5,1.5
0.5,3.0,3.0,3.0
1.0,1.0,3.5,3.5
1.0,1.0,6.5,6.5
1.5,3.0,11.0,11.0
0.5,1.0,1.5,1.5
1.5,2.0,36.5,36.5
1.0,2.0,6.0,6.0
1.0,3.0,12.5,12.5
1.0,1.0,4.5,4.5
0.5,2.0,1.0,1.0
0.5,2.0,1.5,1.5
0.5,2.0,3.5,3.5
1.5,2.0,4.0,4.0
1.0,4.0,4.0,4.0
1.5,2.0,1.5,1.5
1.5,4.0,2.0,2.0
0.5,3.0,5.0,5.0
0.5,3.0,10.5,10.5
0.5,1.0,1.5,1.5
2.0,4.0,4.0,4.0
1.0,3.0,5.0,5.0
1.0,2.0,4.5,4.5
1.0,1.0,6.0,6.0
1.0,1.0,3.5,3.5
0.5,3.0,2.0,2.0
0.5,1.0,5.0,5.0
1.0,4.0,12.0,12.0
0.5,1.0,3.5,3.5
1.5,3.0,2.0,2.0
1.0,3.0,4.0,4.0
1.5,1.0,2.0,2.0
1.0,1.0,5.0,5.0
2.0,1.0,2.0,2.0
1.0,1.0,6.0,6.0
1.0,2.0,4.0,4.0
1.0,3.0,1.5,1.5
1.0,3.0,8.5,8.5
1.0,1.0,0.5,0.5
0.5,2.0,8.5,8.5
1.5,6.0,3.0,3.0
0.5,2.0,1.5,1.5
1.5,1.0,5.5,5.5
1.0,1.0,1.5,1.5
0.5,2.0,5.5,5.5
1.5,2.0,4.0,4.0
1.0,2.0,4.0,4.0
37.5,34.0,38.0,38.0
0.5,2.0,0.5,0.5
1.0,1.0,2.5,2.5
1.0,4.0,2.0,2.0
0.5,1.0,5.5,5.5
1.0,2.0,3.0,3.0
