BARI CENTRALE,TERMOLI,PESCARA,
1.0,8.0,10.5,10.5
3.0,4.5,8.0,8.0
1.0,3.5,4.0,4.0
2.5,3.5,3.0,3.0
1.5,12.0,21.0,21.0
2.0,6.0,9.5,9.5
3.5,0.5,4.5,4.5
1.5,1.5,2.0,2.0
3.5,4.5,11.0,11.0
4.0,109.5,117.0,117.0
7.0,3.0,3.5,3.5
1.5,1.5,5.0,5.0
1.5,2.0,5.5,5.5
0.5,8.0,8.5,8.5
2.0,7.5,5.5,5.5
1.5,2.5,3.0,3.0
1.5,6.5,4.5,4.5
1.0,5.5,11.0,11.0
1.0,7.0,6.5,6.5
2.0,4.0,16.5,16.5
1.0,2.0,4.0,4.0
1.5,6.0,5.0,5.0
3.0,23.0,25.0,25.0
1.0,2.5,4.0,4.0
3.0,2.0,1.5,1.5
1.5,4.0,3.5,3.5
0.5,7.0,11.5,11.5
1.0,1.0,7.5,7.5
1.5,1.5,7.0,7.0
0.5,2.5,1.5,1.5
4.0,4.5,5.0,5.0
3.0,8.0,7.5,7.5
1.0,4.5,6.5,6.5
2.5,2.5,2.0,2.0
4.5,2.5,6.0,6.0
0.5,2.0,1.0,1.0
1.0,6.5,9.5,9.5
0.5,4.5,5.0,5.0
2.0,2.0,6.5,6.5
0.5,5.5,10.5,10.5
1.0,4.0,4.0,4.0
2.5,4.5,9.0,9.0
3.5,4.5,10.5,10.5
1.5,7.5,40.5,40.5
4.5,6.0,6.5,6.5
1.5,1.0,5.0,5.0
2.0,36.0,47.5,47.5
3.5,6.0,5.5,5.5
3.0,1.5,6.5,6.5
2.0,6.5,7.5,7.5
0.5,5.0,3.5,3.5
2.0,3.0,11.5,11.5
1.5,5.0,22.5,22.5
2.0,3.0,20.0,20.0
1.0,4.0,4.0,4.0
1.0,6.0,13.0,13.0
1.0,11.0,16.0,16.0
0.5,1.5,6.5,6.5
2.0,3.0,3.0,3.0
0.5,6.5,5.5,5.5
