VIAREGGIO,LUCCA,ALTOPASCIO,
3.0,3.5,4.0,4.0
4.0,5.0,8.0,8.0
1.5,1.5,2.0,2.0
1.5,2.0,11.0,11.0
1.5,1.5,2.0,2.0
1.5,2.0,6.0,6.0
2.5,2.0,11.0,11.0
1.0,0.5,9.0,9.0
24.0,26.0,28.5,28.5
1.0,11.0,10.0,10.0
1.5,2.0,3.5,3.5
1.5,1.0,8.0,8.0
2.0,4.5,8.5,8.5
2.0,4.5,8.0,8.0
1.5,2.5,7.0,7.0
3.5,3.5,3.5,3.5
1.0,1.0,6.5,6.5
1.5,3.5,3.5,3.5
4.0,3.5,9.5,9.5
1.5,1.0,3.5,3.5
2.0,2.0,6.0,6.0
2.0,4.0,9.5,9.5
3.0,2.0,8.0,8.0
1.0,1.0,1.5,1.5
2.0,1.5,4.5,4.5
2.5,2.0,4.5,4.5
1.0,4.0,6.5,6.5
1.5,2.5,6.0,6.0
1.5,2.0,5.5,5.5
6.5,6.5,18.5,18.5
1.5,1.0,5.0,5.0
1.5,2.5,5.5,5.5
5.0,4.0,3.0,3.0
1.5,2.0,2.5,2.5
2.5,3.5,7.5,7.5
5.5,10.5,26.5,26.5
1.0,1.5,6.5,6.5
2.0,2.5,6.0,6.0
1.5,1.5,7.0,7.0
1.5,2.0,8.0,8.0
2.5,0.5,0.5,0.5
0.5,0.5,17.0,17.0
24.5,23.5,34.5,34.5
2.0,2.5,2.0,2.0
4.0,9.5,13.5,13.5
5.5,7.0,12.0,12.0
1.0,1.0,1.5,1.5
3.0,4.5,6.5,6.5
1.0,4.5,7.5,7.5
7.0,7.0,11.0,11.0
2.0,1.0,6.0,6.0
1.5,1.0,4.5,4.5
1.5,2.0,3.0,3.0
1.0,1.5,7.5,7.5
1.5,1.0,5.0,5.0
6.5,6.5,7.5,7.5
11.5,12.5,12.5,12.5
2.0,3.0,11.5,11.5
0.5,1.0,2.0,2.0
2.5,3.0,8.5,8.5
