VIAREGGIO,MASSAROSA BOZZANO,LUCCA,
4.5,4.0,2.0,2.0
2.0,6.5,6.0,6.0
2.0,2.0,0.5,0.5
3.0,3.0,2.0,2.0
9.0,9.0,7.5,7.5
4.5,5.5,4.5,4.5
2.5,3.5,2.0,2.0
3.0,3.0,2.0,2.0
2.5,3.0,1.5,1.5
4.0,4.0,2.5,2.5
2.5,2.5,3.0,3.0
17.0,17.0,17.5,17.5
1.5,1.5,3.0,3.0
1.5,2.5,0.5,0.5
4.5,4.0,2.0,2.0
1.5,2.0,9.0,9.0
1.5,1.0,3.0,3.0
2.0,16.0,14.0,14.0
2.0,2.0,1.0,1.0
4.5,4.0,2.0,2.0
1.0,1.0,2.0,2.0
1.5,1.5,3.5,3.5
3.0,3.0,2.5,2.5
2.5,2.0,1.5,1.5
1.5,1.5,0.5,0.5
3.5,5.0,5.5,5.5
2.5,3.0,1.5,1.5
3.0,2.5,2.0,2.0
2.5,3.5,4.0,4.0
1.5,2.0,0.5,0.5
2.5,2.5,1.5,1.5
1.5,1.5,1.5,1.5
1.5,2.0,1.0,1.0
1.5,1.5,0.5,0.5
3.0,3.0,1.0,1.0
4.0,3.5,2.5,2.5
4.0,4.0,3.0,3.0
1.0,1.0,0.5,0.5
1.5,1.5,1.0,1.0
1.5,3.0,4.5,4.5
3.0,3.0,2.5,2.5
1.5,1.5,1.5,1.5
2.0,2.0,1.0,1.0
3.5,4.0,2.5,2.5
2.5,2.5,0.5,0.5
2.0,2.5,1.0,1.0
4.5,5.0,6.5,6.5
3.5,3.5,1.0,1.0
3.5,3.5,3.5,3.5
3.0,3.5,1.5,1.5
2.5,3.5,1.5,1.5
2.0,3.5,3.0,3.0
2.5,3.0,2.0,2.0
6.0,6.0,5.5,5.5
1.5,2.0,0.5,0.5
3.0,3.0,1.0,1.0
2.0,2.0,0.5,0.5
3.5,4.0,3.0,3.0
4.0,4.5,3.0,3.0
1.5,1.5,1.5,1.5
