ROMA TERMINI,FIRENZE S.M.N.,BOLOGNA C.LEAV,
1.0,6.0,6.5,6.5
1.0,4.0,1.5,1.5
1.0,2.5,5.5,5.5
2.0,2.0,10.5,10.5
2.0,4.5,1.0,1.0
1.0,3.5,1.0,1.0
1.0,7.5,20.0,20.0
1.0,0.5,8.0,8.0
1.0,7.0,4.5,4.5
2.0,7.0,2.5,2.5
1.0,10.0,12.0,12.0
1.0,7.5,4.5,4.5
2.0,5.0,0.5,0.5
1.0,6.5,4.5,4.5
1.0,3.0,6.0,6.0
1.0,4.5,0.5,0.5
2.0,4.5,7.5,7.5
2.0,3.5,3.0,3.0
2.0,6.0,2.5,2.5
1.0,7.5,8.0,8.0
1.0,2.0,0.5,0.5
2.0,3.0,3.0,3.0
1.0,0.5,8.0,8.0
1.0,11.0,10.0,10.0
1.0,3.5,8.5,8.5
2.0,6.5,7.5,7.5
1.0,19.0,21.0,21.0
2.0,3.5,0.5,0.5
2.0,4.0,8.5,8.5
1.0,1.5,1.0,1.0
1.0,5.5,10.5,10.5
1.0,0.5,1.0,1.0
1.0,3.5,1.5,1.5
1.0,6.0,3.0,3.0
1.0,10.5,9.5,9.5
1.0,9.0,9.5,9.5
1.0,4.0,0.5,0.5
2.0,3.5,5.5,5.5
1.0,5.5,4.5,4.5
2.0,10.0,4.5,4.5
1.0,6.5,13.5,13.5
1.0,3.0,1.5,1.5
1.0,0.5,0.5,0.5
2.0,14.0,15.5,15.5
1.0,7.5,3.0,3.0
1.0,5.0,0.5,0.5
1.0,6.0,1.0,1.0
1.0,9.0,11.0,11.0
1.0,3.5,5.0,5.0
1.0,4.0,0.5,0.5
2.0,8.5,4.0,4.0
1.0,8.5,9.5,9.5
1.0,3.5,4.0,4.0
1.0,12.0,6.0,6.0
1.0,9.5,10.5,10.5
2.0,6.0,5.0,5.0
1.0,5.0,4.0,4.0
2.0,4.5,15.0,15.0
2.0,28.5,31.0,31.0
2.0,15.0,8.0,8.0
