VENEZIA SANTA LUCIA,PADOVA,BOLOGNA C.LE,
0.5,1.0,5.0,5.0
0.5,1.5,3.0,3.0
1.0,2.0,21.0,21.0
0.5,2.5,3.0,3.0
1.0,1.5,3.5,3.5
0.5,1.5,5.0,5.0
0.5,1.5,13.0,13.0
1.0,1.0,2.0,2.0
1.5,4.0,4.0,4.0
0.5,1.5,3.5,3.5
0.5,1.5,3.0,3.0
1.0,0.5,1.5,1.5
0.5,1.5,7.0,7.0
1.0,2.5,5.5,5.5
0.5,2.0,11.5,11.5
0.5,0.5,0.5,0.5
1.5,3.5,2.5,2.5
0.5,0.5,0.5,0.5
0.5,0.5,7.0,7.0
0.5,1.5,4.5,4.5
0.5,1.0,5.5,5.5
1.0,1.0,1.5,1.5
0.5,3.5,7.0,7.0
0.5,1.0,2.5,2.5
1.0,3.5,17.5,17.5
1.0,2.0,5.5,5.5
0.5,2.5,2.0,2.0
0.5,0.5,1.5,1.5
1.5,3.5,4.5,4.5
1.5,1.5,7.5,7.5
1.5,4.5,7.0,7.0
1.5,8.5,104.5,104.5
0.5,1.5,2.0,2.0
1.0,6.5,6.5,6.5
1.0,2.0,3.0,3.0
0.5,1.0,4.0,4.0
1.5,3.5,16.5,16.5
1.0,4.0,11.5,11.5
1.0,5.0,3.0,3.0
0.5,1.5,9.5,9.5
0.5,1.0,4.0,4.0
1.0,4.0,15.5,15.5
1.0,0.5,2.5,2.5
1.0,3.5,4.0,4.0
2.0,1.0,5.0,5.0
0.5,1.0,1.0,1.0
1.0,0.5,5.0,5.0
1.0,2.5,2.5,2.5
1.5,1.5,4.0,4.0
1.0,0.5,19.0,19.0
0.5,2.0,7.5,7.5
1.5,2.0,10.5,10.5
0.5,0.5,2.0,2.0
0.5,1.5,6.5,6.5
1.0,2.0,1.0,1.0
0.5,2.0,0.5,0.5
0.5,4.0,2.0,2.0
0.5,2.0,4.0,4.0
2.5,2.0,7.0,7.0
1.0,6.0,7.0,7.0
