ROMA TERMINI,ROMA TIBURTINA,FIRENZE S.M.N.,
4.0,2.5,3.5,3.5
4.0,3.5,9.5,9.5
3.0,2.0,10.0,10.0
1.0,0.5,12.0,12.0
2.0,0.5,5.0,5.0
13.0,12.0,12.5,12.5
11.0,9.0,13.5,13.5
2.0,0.5,16.0,16.0
12.0,10.0,23.5,23.5
5.0,5.0,2.5,2.5
1.0,5.5,6.5,6.5
3.0,0.5,7.0,7.0
3.0,0.5,3.0,3.0
6.0,4.0,9.0,9.0
1.0,1.5,0.5,0.5
10.0,7.0,7.0,7.0
6.0,5.5,11.0,11.0
2.0,0.5,1.5,1.5
1.0,0.5,7.5,7.5
2.0,1.0,2.0,2.0
2.0,0.5,26.0,26.0
1.0,8.0,18.5,18.5
3.0,2.5,4.5,4.5
2.0,1.5,8.5,8.5
3.0,1.5,13.5,13.5
2.0,1.5,9.5,9.5
3.0,1.5,0.5,0.5
5.0,3.0,8.5,8.5
6.0,4.5,4.0,4.0
4.0,2.5,1.5,1.5
1.0,0.5,9.0,9.0
4.0,3.0,14.0,14.0
4.0,2.0,3.5,3.5
5.0,2.5,12.0,12.0
3.0,2.0,5.5,5.5
3.0,2.0,12.5,12.5
3.0,0.5,2.0,2.0
2.0,0.5,4.5,4.5
7.0,4.0,9.5,9.5
4.0,3.0,4.5,4.5
2.0,1.0,9.0,9.0
2.0,1.5,4.5,4.5
2.0,1.0,18.5,18.5
3.0,1.5,1.5,1.5
4.0,2.5,4.0,4.0
1.0,0.5,4.0,4.0
8.0,8.0,16.5,16.5
3.0,1.5,3.5,3.5
2.0,2.5,0.5,0.5
1.0,0.5,0.5,0.5
1.0,4.0,8.0,8.0
2.0,0.5,6.0,6.0
19.0,19.0,20.5,20.5
7.0,5.0,11.0,11.0
3.0,1.5,9.5,9.5
1.0,0.5,8.0,8.0
9.0,7.0,17.5,17.5
9.0,7.5,0.5,0.5
19.0,17.5,26.5,26.5
3.0,4.0,8.5,8.5
