BOLOGNA C.LE,OSTERIA NUOVA,SAN GIOVANNI IN PERSICETO,
4.0,1.5,4.0,4.0
24.0,21.5,22.5,22.5
1.5,2.5,3.5,3.5
2.5,1.0,4.5,4.5
2.0,1.0,18.5,18.5
5.0,3.5,4.5,4.5
3.5,4.0,5.0,5.0
2.0,0.5,1.5,1.5
5.5,4.5,7.0,7.0
4.0,2.0,4.0,4.0
3.5,2.5,3.5,3.5
5.0,3.5,4.5,4.5
20.0,17.0,17.0,17.0
2.0,2.0,3.5,3.5
11.0,11.5,13.0,13.0
2.0,1.5,3.0,3.0
3.0,0.5,1.5,1.5
4.0,3.0,4.0,4.0
11.0,11.0,12.0,12.0
2.5,0.5,1.5,1.5
2.0,1.0,2.5,2.5
2.0,1.5,2.5,2.5
18.5,16.0,16.5,16.5
2.0,1.5,4.0,4.0
2.0,0.5,3.0,3.0
10.5,9.0,10.5,10.5
2.5,1.0,2.0,2.0
1.5,0.5,2.0,2.0
5.0,4.0,5.0,5.0
1.5,0.5,2.5,2.5
6.0,4.0,5.5,5.5
19.5,18.0,20.0,20.0
2.0,3.5,5.0,5.0
3.5,1.5,2.5,2.5
2.5,2.0,3.5,3.5
2.5,2.5,5.0,5.0
2.0,1.0,2.5,2.5
2.5,3.5,4.5,4.5
10.0,8.0,9.0,9.0
2.0,1.0,3.5,3.5
33.0,34.0,34.5,34.5
3.0,3.0,5.0,5.0
4.5,4.5,5.5,5.5
1.5,0.5,2.0,2.0
8.0,5.5,7.0,7.0
4.0,2.0,3.5,3.5
2.0,0.5,2.0,2.0
2.5,0.5,2.0,2.0
3.0,2.0,3.5,3.5
8.0,6.5,7.0,7.0
3.5,1.5,3.0,3.0
1.5,2.5,5.0,5.0
4.0,2.0,3.0,3.0
8.5,7.0,8.0,8.0
16.5,15.5,17.0,17.0
4.0,1.0,2.0,2.0
13.5,11.0,12.0,12.0
5.0,3.5,5.5,5.5
19.5,17.5,19.0,19.0
5.0,2.5,4.5,4.5
