TORINO P.NUOVA,TORINO PORTA SUSA,MILANO PORTA GARIBALDI,
3.5,1.0,1.5,1.5
4.5,2.0,3.5,3.5
4.0,1.0,1.5,1.5
1.5,2.0,5.0,5.0
5.0,2.0,0.5,0.5
3.0,1.0,2.0,2.0
5.5,3.0,10.0,10.0
8.0,5.0,3.5,3.5
1.5,2.0,1.5,1.5
13.0,10.5,8.0,8.0
0.5,1.5,5.0,5.0
4.0,1.5,4.5,4.5
3.0,0.5,4.0,4.0
6.0,3.5,8.5,8.5
3.5,0.5,3.0,3.0
5.0,2.5,8.5,8.5
3.0,1.0,1.0,1.0
3.5,0.5,7.5,7.5
3.5,0.5,3.5,3.5
4.5,2.5,3.0,3.0
5.0,3.0,1.5,1.5
3.5,0.5,5.0,5.0
6.0,3.0,4.5,4.5
7.5,6.0,2.5,2.5
3.5,0.5,2.0,2.0
8.5,6.0,6.0,6.0
1.5,0.5,2.0,2.0
4.0,2.0,2.0,2.0
2.5,1.5,1.5,1.5
3.5,1.0,2.5,2.5
4.0,1.5,2.0,2.0
1.0,4.5,5.0,5.0
2.0,4.0,1.0,1.0
2.0,3.5,8.0,8.0
1.0,2.5,2.5,2.5
5.5,3.0,6.0,6.0
4.0,2.0,1.5,1.5
4.5,3.5,5.0,5.0
4.0,3.0,3.5,3.5
3.0,1.0,3.5,3.5
2.5,0.5,1.5,1.5
4.0,3.0,3.5,3.5
5.0,2.0,1.0,1.0
1.5,2.0,1.5,1.5
4.5,3.0,5.0,5.0
3.0,1.0,2.5,2.5
9.5,8.5,12.5,12.5
11.0,8.5,7.5,7.5
3.0,0.5,7.0,7.0
6.0,3.0,2.0,2.0
5.5,4.5,3.5,3.5
2.0,0.5,1.0,1.0
2.5,7.5,10.0,10.0
5.5,2.5,1.5,1.5
1.5,1.5,6.0,6.0
4.0,1.5,2.0,2.0
1.0,1.5,2.0,2.0
1.5,3.0,6.0,6.0
5.5,3.0,4.0,4.0
12.0,9.0,11.5,11.5
