ROMA TIBURTINA,FIRENZE S.M.N.,BOLOGNA C.LEAV,
7.0,10.0,6.0,6.0
1.0,4.5,5.5,5.5
5.0,8.0,11.5,11.5
0.5,3.0,7.0,7.0
2.0,7.0,5.0,5.0
0.5,16.5,16.5,16.5
2.0,4.5,1.5,1.5
4.5,8.5,13.0,13.0
6.0,12.0,12.0,12.0
1.0,2.5,2.5,2.5
0.5,6.0,3.5,3.5
4.5,23.0,15.5,15.5
0.5,9.5,4.0,4.0
0.5,1.0,0.5,0.5
0.5,6.0,7.0,7.0
1.0,2.0,0.5,0.5
1.0,7.0,2.5,2.5
6.0,27.0,25.5,25.5
2.5,10.0,5.5,5.5
0.5,4.0,3.0,3.0
4.5,16.5,15.0,15.0
3.0,13.5,18.0,18.0
4.5,7.5,6.5,6.5
3.0,8.0,4.5,4.5
1.0,15.0,18.0,18.0
2.0,1.5,1.5,1.5
0.5,8.5,11.5,11.5
6.5,12.5,6.5,6.5
6.0,21.5,17.5,17.5
0.5,1.5,5.0,5.0
1.5,3.0,8.0,8.0
1.0,10.5,12.5,12.5
1.0,5.5,7.5,7.5
0.5,6.0,6.0,6.0
1.0,13.0,11.5,11.5
23.0,23.0,21.5,21.5
3.0,14.5,9.5,9.5
0.5,0.5,4.5,4.5
1.5,12.0,8.5,8.5
0.5,2.0,6.0,6.0
2.0,4.5,10.5,10.5
0.5,3.5,1.5,1.5
0.5,5.0,1.5,1.5
3.0,7.0,7.0,7.0
0.5,9.0,3.0,3.0
1.0,9.0,6.0,6.0
2.5,10.5,9.5,9.5
7.5,19.5,27.5,27.5
2.5,21.0,16.5,16.5
0.5,29.5,24.0,24.0
0.5,6.5,5.5,5.5
1.0,6.0,14.0,14.0
3.5,5.0,4.0,4.0
1.5,13.5,10.0,10.0
1.5,3.0,0.5,0.5
1.0,4.0,6.5,6.5
8.0,10.0,9.0,9.0
7.5,14.5,9.0,9.0
2.5,9.5,4.0,4.0
2.0,3.0,1.0,1.0
