TARANTO,GIOIA DEL COLLE,BARI CENTRALE,
2.0,2.0,1.0,1.0
2.0,6.0,3.5,3.5
8.5,5.5,2.5,2.5
15.5,12.5,6.0,6.0
1.0,6.0,2.0,2.0
3.0,2.5,1.0,1.0
2.0,4.5,2.0,2.0
7.5,5.5,3.0,3.0
4.0,7.5,1.5,1.5
59.5,61.0,58.5,58.5
8.0,14.0,31.0,31.0
2.0,21.0,14.0,14.0
7.5,9.0,7.0,7.0
1.0,3.5,2.5,2.5
6.5,6.5,5.0,5.0
4.0,4.5,3.0,3.0
1.5,4.0,10.0,10.0
7.0,6.0,4.5,4.5
5.0,3.0,1.5,1.5
1.5,3.5,2.5,2.5
11.5,11.0,8.5,8.5
1.5,7.0,1.5,1.5
0.5,3.5,11.0,11.0
5.0,5.5,3.0,3.0
5.0,5.0,3.0,3.0
2.5,8.5,4.0,4.0
2.0,18.0,12.0,12.0
1.0,1.0,0.5,0.5
1.0,5.0,3.5,3.5
3.5,3.5,1.5,1.5
9.5,5.5,7.5,7.5
2.0,1.0,21.5,21.5
1.0,1.5,30.0,30.0
8.0,7.5,3.5,3.5
3.0,1.0,27.0,27.0
6.0,6.0,8.0,8.0
4.5,3.0,0.5,0.5
4.0,3.5,2.0,2.0
4.5,3.5,11.0,11.0
2.0,2.5,0.5,0.5
2.0,2.5,33.5,33.5
2.0,0.5,2.0,2.0
2.0,3.0,1.0,1.0
3.5,2.0,0.5,0.5
1.0,1.5,18.0,18.0
10.0,10.5,8.0,8.0
18.0,17.5,11.0,11.0
3.5,0.5,24.0,24.0
4.0,6.5,2.5,2.5
0.5,2.5,25.0,25.0
23.0,26.5,32.5,32.5
1.0,2.0,30.0,30.0
10.0,5.5,2.5,2.5
52.0,196.5,226.0,226.0
2.0,1.5,1.0,1.0
4.0,4.0,3.0,3.0
4.5,4.5,3.0,3.0
1.5,6.0,0.5,0.5
5.0,1.0,4.0,4.0
1.0,2.0,12.0,12.0
