TORINO P.NUOVA,TORINO PORTA SUSA,MILANO CENTRALE,
2.5,2.5,2.0,2.0
4.5,1.5,2.0,2.0
4.0,2.0,2.5,2.5
2.5,0.5,1.5,1.5
4.0,1.0,2.0,2.0
32.0,30.0,29.5,29.5
76.5,76.0,78.5,78.5
1.0,4.0,2.5,2.5
2.5,2.0,1.5,1.5
16.0,11.5,5.0,5.0
2.0,0.5,4.0,4.0
164.5,160.0,161.0,161.0
3.0,1.5,3.0,3.0
3.0,0.5,5.5,5.5
5.5,4.0,2.0,2.0
0.5,1.0,2.5,2.5
1.0,1.0,3.5,3.5
1.0,0.5,1.5,1.5
13.5,12.5,9.5,9.5
1.5,2.5,0.5,0.5
9.5,5.0,0.5,0.5
2.0,1.0,0.5,0.5
3.5,1.0,1.5,1.5
3.0,0.5,3.5,3.5
4.5,2.0,35.0,35.0
1.5,0.5,2.0,2.0
1.5,6.0,3.5,3.5
1.5,0.5,1.0,1.0
4.5,2.0,2.0,2.0
3.5,1.5,3.0,3.0
11.0,9.0,3.0,3.0
6.5,2.0,3.0,3.0
1.0,1.0,5.0,5.0
3.0,0.5,0.5,0.5
3.5,0.5,1.0,1.0
1.0,3.5,8.0,8.0
0.5,3.0,16.0,16.0
3.5,4.0,3.5,3.5
2.0,2.0,0.5,0.5
5.0,0.5,1.0,1.0
1.5,2.0,2.0,2.0
3.5,1.0,2.5,2.5
2.5,2.5,11.0,11.0
5.0,1.5,1.5,1.5
27.5,23.0,20.5,20.5
3.5,5.5,11.0,11.0
20.0,17.0,12.0,12.0
5.0,4.5,1.5,1.5
15.0,23.0,21.5,21.5
8.0,6.5,4.5,4.5
5.0,2.5,0.5,0.5
1.5,21.0,19.5,19.5
15.5,13.5,12.5,12.5
1.5,2.5,6.0,6.0
2.5,0.5,1.5,1.5
4.0,2.5,0.5,0.5
9.0,5.5,4.5,4.5
7.5,3.0,2.0,2.0
1.5,0.5,0.5,0.5
3.5,2.0,3.5,3.5
