TRIESTE CENTRALE,PADOVA,FERRARA,
1.0,1.0,5.0,5.0
0.5,1.5,2.0,2.0
3.5,2.5,4.0,4.0
1.0,1.5,1.5,1.5
1.0,0.5,3.0,3.0
1.5,2.5,8.5,8.5
0.5,3.5,7.5,7.5
0.5,0.5,8.5,8.5
0.5,1.0,1.5,1.5
0.5,4.0,9.0,9.0
1.0,5.0,6.0,6.0
0.5,1.5,5.0,5.0
1.0,8.5,13.5,13.5
0.5,2.5,2.0,2.0
0.5,5.0,7.0,7.0
0.5,11.5,15.0,15.0
0.5,2.5,7.0,7.0
0.5,1.0,2.0,2.0
0.5,1.0,1.5,1.5
1.5,2.5,2.5,2.5
0.5,0.5,4.5,4.5
0.5,0.5,0.5,0.5
1.0,0.5,5.0,5.0
0.5,2.5,5.0,5.0
1.0,0.5,4.0,4.0
0.5,3.0,5.5,5.5
1.0,6.0,7.0,7.0
0.5,7.5,11.5,11.5
1.0,1.0,2.5,2.5
5.0,0.5,4.5,4.5
0.5,7.5,11.0,11.0
0.5,0.5,4.5,4.5
0.5,1.5,1.0,1.0
0.5,3.0,3.0,3.0
0.5,3.5,3.0,3.0
0.5,2.0,6.5,6.5
0.5,2.0,4.5,4.5
0.5,10.0,15.0,15.0
1.0,3.0,7.0,7.0
1.5,2.5,2.5,2.5
1.0,2.0,7.0,7.0
0.5,4.0,7.5,7.5
1.0,0.5,2.0,2.0
0.5,2.5,2.5,2.5
0.5,1.5,1.5,1.5
0.5,1.0,1.0,1.0
0.5,2.0,1.5,1.5
0.5,2.5,2.5,2.5
0.5,2.5,4.5,4.5
0.5,4.0,3.5,3.5
1.0,2.5,4.5,4.5
0.5,0.5,2.0,2.0
0.5,4.0,5.5,5.5
1.0,0.5,0.5,0.5
3.5,2.5,4.0,4.0
1.0,1.0,3.5,3.5
1.0,1.0,2.0,2.0
0.5,1.0,0.5,0.5
0.5,1.5,5.0,5.0
0.5,3.5,2.5,2.5
