TORINO P.NUOVA,BOLOGNA C.LEAV,FIRENZE S.M.N.,
2.0,2.0,4.0,4.0
1.0,2.5,2.0,2.0
1.5,8.5,8.0,8.0
1.0,0.5,8.0,8.0
1.0,2.0,3.5,3.5
1.0,3.0,4.5,4.5
1.5,5.0,6.0,6.0
1.5,5.5,9.5,9.5
1.0,4.0,1.0,1.0
1.0,2.5,6.0,6.0
1.0,2.5,7.0,7.0
1.0,11.5,13.0,13.0
0.5,1.5,6.0,6.0
2.5,9.0,10.5,10.5
1.0,9.5,10.0,10.0
0.5,4.0,3.5,3.5
0.5,6.0,8.5,8.5
1.5,2.0,1.0,1.0
1.0,3.5,4.0,4.0
1.5,4.0,9.5,9.5
0.5,6.0,14.0,14.0
3.0,3.0,0.5,0.5
2.0,3.0,9.0,9.0
0.5,8.5,12.0,12.0
0.5,3.0,3.5,3.5
0.5,1.5,8.5,8.5
1.0,3.5,4.5,4.5
1.5,4.0,8.5,8.5
0.5,3.0,0.5,0.5
1.0,1.5,8.5,8.5
2.0,5.5,7.0,7.0
1.5,2.5,0.5,0.5
1.5,10.0,13.0,13.0
1.0,0.5,4.0,4.0
1.0,7.0,6.0,6.0
0.5,3.0,1.0,1.0
1.0,4.5,11.0,11.0
1.0,1.5,4.0,4.0
1.5,6.5,5.5,5.5
1.0,6.0,2.0,2.0
1.5,1.0,9.0,9.0
1.0,3.5,12.0,12.0
2.0,2.0,7.0,7.0
1.5,1.5,2.5,2.5
1.5,5.0,5.5,5.5
1.5,7.5,9.0,9.0
0.5,0.5,4.5,4.5
1.0,1.5,10.0,10.0
0.5,4.5,15.5,15.5
0.5,7.5,10.0,10.0
1.0,3.0,3.0,3.0
1.0,1.0,1.5,1.5
0.5,4.5,3.0,3.0
1.5,8.0,6.5,6.5
1.0,1.5,3.5,3.5
1.0,2.5,5.5,5.5
1.0,2.0,4.0,4.0
0.5,2.0,7.0,7.0
1.0,4.0,6.0,6.0
1.5,7.0,10.0,10.0
