BOLOGNA C.LE,MODENA,REGGIO EMILIA,
2.0,7.5,5.0,5.0
1.5,2.0,3.5,3.5
1.5,1.5,2.0,2.0
8.5,0.5,2.0,2.0
2.5,5.0,11.5,11.5
1.5,2.0,2.5,2.5
1.0,2.0,6.5,6.5
5.5,1.5,1.0,1.0
1.5,10.5,9.5,9.5
2.0,5.5,3.5,3.5
1.5,1.0,2.0,2.0
10.5,7.0,6.5,6.5
2.0,1.0,2.0,2.0
3.0,20.0,16.0,16.0
1.0,4.0,5.0,5.0
1.5,4.5,9.5,9.5
1.0,4.0,15.0,15.0
2.0,3.5,4.0,4.0
2.0,4.5,4.5,4.5
1.5,1.0,3.0,3.0
3.0,5.5,20.0,20.0
1.5,1.5,4.0,4.0
4.0,8.0,8.5,8.5
1.0,3.0,3.0,3.0
1.5,2.5,7.0,7.0
1.5,2.0,1.0,1.0
1.0,5.5,6.5,6.5
1.0,2.0,4.5,4.5
1.5,1.5,0.5,0.5
5.5,4.5,6.5,6.5
1.5,2.0,1.5,1.5
2.0,5.5,6.0,6.0
1.5,2.0,1.0,1.0
1.0,4.0,6.0,6.0
1.0,1.0,1.5,1.5
1.5,3.5,6.0,6.0
2.0,48.5,46.5,46.5
1.0,4.5,2.5,2.5
1.0,1.0,2.5,2.5
2.5,0.5,1.5,1.5
2.0,4.0,9.0,9.0
2.0,1.5,2.5,2.5
1.5,3.0,4.0,4.0
1.0,2.5,2.5,2.5
2.0,2.5,2.0,2.0
2.5,3.0,4.0,4.0
1.0,3.5,8.5,8.5
1.0,2.5,8.0,8.0
1.5,1.0,3.5,3.5
1.0,0.5,5.5,5.5
2.0,6.0,8.5,8.5
11.5,4.5,7.0,7.0
1.0,1.0,1.0,1.0
1.5,2.0,3.0,3.0
1.5,1.5,1.0,1.0
3.0,7.5,9.5,9.5
1.0,2.5,7.0,7.0
1.0,3.5,2.0,2.0
1.5,2.0,2.0,2.0
1.5,9.5,16.5,16.5
