FERRARA,POGGIO RENATICO,S.PIETRO IN CASALE,
2.5,5.5,5.0,5.0
1.0,5.5,5.5,5.5
6.0,11.0,11.0,11.0
2.0,4.0,4.5,4.5
0.5,3.5,4.5,4.5
11.5,13.5,13.0,13.0
5.5,10.0,9.5,9.5
1.0,3.0,3.5,3.5
3.5,7.0,6.5,6.5
3.0,5.5,4.5,4.5
1.5,5.0,4.5,4.5
6.0,7.5,7.5,7.5
4.0,7.5,9.0,9.0
1.0,3.0,2.5,2.5
0.5,6.0,6.0,6.0
9.5,12.0,13.0,13.0
0.5,4.0,4.5,4.5
2.5,5.0,5.0,5.0
0.5,4.5,4.5,4.5
6.5,10.5,10.5,10.5
3.5,6.5,7.5,7.5
4.5,7.0,7.5,7.5
3.0,5.5,6.0,6.0
1.5,3.0,4.0,4.0
1.0,4.0,4.5,4.5
4.0,6.0,7.0,7.0
1.0,5.5,6.5,6.5
0.5,5.0,4.5,4.5
8.5,11.5,11.0,11.0
5.5,8.0,8.0,8.0
3.5,6.0,6.5,6.5
3.5,6.5,6.0,6.0
9.5,11.5,12.0,12.0
0.5,3.0,3.5,3.5
11.0,14.0,16.0,16.0
1.5,4.5,4.5,4.5
10.0,12.5,12.0,12.0
3.5,6.5,6.0,6.0
3.0,6.0,5.0,5.0
15.5,17.5,18.0,18.0
1.0,3.5,3.0,3.0
19.0,21.0,25.5,25.5
5.0,8.5,8.0,8.0
0.5,5.0,4.5,4.5
3.0,6.0,6.5,6.5
3.0,5.5,5.0,5.0
10.0,13.0,12.0,12.0
4.5,7.0,6.5,6.5
12.0,14.5,15.0,15.0
7.0,10.0,9.5,9.5
0.5,3.0,4.0,4.0
5.0,8.5,8.0,8.0
6.5,9.5,9.5,9.5
2.5,6.0,5.0,5.0
38.5,43.5,45.0,45.0
10.5,13.0,12.5,12.5
1.0,4.0,3.5,3.5
12.0,15.0,15.0,15.0
11.0,14.0,13.0,13.0
2.5,5.0,5.0,5.0
