TORINO P.NUOVA,TORINO LINGOTTO,ASTI,
1.5,3.0,2.0,2.0
3.5,6.0,6.5,6.5
17.0,15.0,18.5,18.5
1.0,1.0,4.5,4.5
7.5,8.0,8.5,8.5
3.0,1.0,3.0,3.0
2.5,3.5,4.0,4.0
2.0,2.0,1.5,1.5
4.0,7.0,6.5,6.5
2.5,1.0,0.5,0.5
3.5,9.0,12.5,12.5
12.0,10.0,10.5,10.5
1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0
0.5,2.0,0.5,0.5
1.0,2.0,1.0,1.0
1.0,1.0,6.5,6.5
2.0,4.0,7.0,7.0
6.0,6.5,4.0,4.0
5.0,5.5,4.0,4.0
1.5,0.5,5.0,5.0
6.0,4.5,1.5,1.5
4.5,3.5,0.5,0.5
3.5,2.0,0.5,0.5
5.5,5.5,10.5,10.5
2.0,2.0,2.0,2.0
1.0,4.0,12.5,12.5
3.5,2.5,4.0,4.0
1.0,4.0,4.0,4.0
5.5,4.5,5.0,5.0
1.5,4.5,15.5,15.5
1.5,4.0,3.5,3.5
3.0,3.5,5.0,5.0
3.0,2.0,2.0,2.0
5.5,4.0,6.5,6.5
1.0,0.5,4.0,4.0
1.0,2.0,1.5,1.5
1.0,4.0,10.0,10.0
4.0,5.0,2.0,2.0
7.0,5.0,4.0,4.0
2.0,6.5,4.5,4.5
9.0,8.5,10.5,10.5
4.0,3.0,0.5,0.5
0.5,5.0,4.0,4.0
2.0,3.5,10.5,10.5
3.5,5.0,4.5,4.5
2.0,3.0,5.0,5.0
1.0,3.5,2.0,2.0
2.5,1.0,0.5,0.5
3.5,9.0,19.5,19.5
4.0,3.0,3.5,3.5
3.0,1.0,3.0,3.0
9.5,7.0,8.0,8.0
2.0,1.0,9.0,9.0
7.0,5.5,5.5,5.5
3.5,5.0,3.0,3.0
8.5,7.0,8.0,8.0
0.5,1.0,3.0,3.0
1.5,4.0,4.0,4.0
7.5,9.0,11.5,11.5
