LECCE,TERMOLI,PESCARA,
1.0,9.0,7.5,7.5
1.0,6.5,20.5,20.5
1.0,5.5,33.0,33.0
1.0,2.5,7.0,7.0
1.5,5.5,18.0,18.0
1.5,18.5,22.0,22.0
1.0,19.0,25.5,25.5
1.0,3.0,4.0,4.0
1.0,5.5,8.0,8.0
1.0,11.0,13.0,13.0
1.0,13.5,26.0,26.0
0.5,3.0,6.0,6.0
1.0,5.0,11.0,11.0
1.0,4.5,5.0,5.0
1.0,13.0,18.0,18.0
1.0,4.0,4.5,4.5
1.0,1.5,10.5,10.5
1.5,9.0,9.5,9.5
0.5,8.0,22.5,22.5
1.0,5.5,13.5,13.5
1.5,7.5,7.0,7.0
0.5,9.5,8.0,8.0
0.5,9.5,20.5,20.5
1.0,2.0,15.5,15.5
1.5,3.0,9.5,9.5
1.0,5.0,32.0,32.0
3.0,8.5,11.0,11.0
1.0,3.5,22.0,22.0
1.5,5.5,11.0,11.0
1.0,1.0,5.5,5.5
1.0,3.0,8.0,8.0
0.5,8.5,8.5,8.5
1.0,9.0,21.0,21.0
1.5,3.5,5.0,5.0
0.5,3.0,4.5,4.5
1.0,6.0,4.5,4.5
1.5,1.5,12.0,12.0
1.5,7.5,35.5,35.5
1.0,6.0,8.5,8.5
1.0,8.0,7.0,7.0
0.5,21.0,41.0,41.0
1.0,9.0,11.0,11.0
1.0,10.0,9.0,9.0
1.0,9.5,11.5,11.5
1.0,2.0,5.0,5.0
1.0,0.5,3.0,3.0
1.0,14.5,17.5,17.5
1.0,11.0,20.0,20.0
0.5,5.5,14.5,14.5
2.0,13.5,12.5,12.5
0.5,3.0,11.0,11.0
1.0,2.5,7.0,7.0
1.5,1.5,6.0,6.0
1.0,5.5,18.0,18.0
1.0,4.5,9.5,9.5
1.0,7.0,13.0,13.0
1.5,5.5,5.0,5.0
0.5,55.5,58.0,58.0
1.0,8.5,7.0,7.0
1.5,4.0,9.5,9.5
