TRIESTE CENTRALE,MONFALCONE,CERVIGNANO A.G.,
3.0,1.5,2.5,2.5
0.5,1.5,4.0,4.0
0.5,1.0,5.5,5.5
4.0,2.0,3.5,3.5
1.0,1.5,6.0,6.0
0.5,0.5,1.0,1.0
1.0,2.0,6.0,6.0
0.5,3.0,5.5,5.5
0.5,2.0,3.5,3.5
0.5,1.0,1.0,1.0
1.0,1.0,3.0,3.0
1.0,1.0,3.0,3.0
2.0,2.0,7.5,7.5
1.0,0.5,12.0,12.0
1.0,5.0,7.5,7.5
0.5,1.5,4.5,4.5
1.0,21.0,22.5,22.5
2.0,3.0,8.5,8.5
4.0,8.5,11.5,11.5
17.5,17.5,19.5,19.5
2.0,2.0,5.0,5.0
0.5,5.5,50.0,50.0
0.5,0.5,3.5,3.5
7.0,5.0,6.0,6.0
0.5,2.0,3.5,3.5
5.0,5.0,6.0,6.0
0.5,0.5,2.5,2.5
0.5,1.5,4.0,4.0
0.5,1.0,4.5,4.5
1.0,1.0,4.5,4.5
0.5,0.5,5.0,5.0
1.0,0.5,0.5,0.5
1.5,0.5,3.0,3.0
23.5,24.5,26.0,26.0
3.0,2.0,4.5,4.5
0.5,1.0,3.5,3.5
0.5,4.0,5.0,5.0
0.5,1.0,3.0,3.0
2.0,1.0,2.5,2.5
1.5,2.0,4.5,4.5
0.5,1.0,3.0,3.0
1.0,0.5,1.5,1.5
0.5,1.5,5.5,5.5
1.0,2.0,3.5,3.5
1.0,1.5,3.5,3.5
1.0,2.5,3.5,3.5
6.5,32.5,37.0,37.0
5.5,4.0,5.0,5.0
2.0,4.0,5.5,5.5
0.5,1.0,4.5,4.5
0.5,3.5,7.5,7.5
2.0,4.0,5.5,5.5
0.5,0.5,2.5,2.5
80.0,79.5,80.0,80.0
1.0,1.0,4.0,4.0
1.0,1.0,5.0,5.0
20.5,21.5,25.5,25.5
1.0,10.0,12.0,12.0
1.0,0.5,2.0,2.0
0.5,1.5,2.0,2.0
